gender,years_exp,education,test_score,age,career_break_months,senior_hire
F,7.19517395982783,0,73.1,43.9,30,0
M,0.4,1,55.1,37.1,5,0
M,4.42,1,63.7,29.7,10,0
F,4.76517395982783,2,80.5,37.8,15,0
F,5.09517395982783,1,65.9,32.8,8,0
F,6.54517395982783,1,75.5,38.7,37,0
F,2.70517395982783,2,74.3,39.6,16,0
F,7.24517395982783,1,63.8,35.2,23,0
F,5.32517395982783,1,49.3,35.1,17,0
F,4.14517395982783,0,79.8,41.1,19,0
F,2.35517395982783,1,70,48.3,14,0
M,2.54,1,79.8,33,11,0
F,6.67517395982783,2,43.8,26.5,14,0
M,3.09,1,48.1,21,6,0
M,5.66,0,42.3,36.3,3,0
F,8.42517395982783,1,57.5,36.8,32,0
M,8.08,2,80.5,34.6,3,0
M,9.4,0,74.8,42.3,9,0
F,5.03517395982783,0,67.6,27,15,0
F,3.06517395982783,0,69.6,36.9,18,0
M,8.05,2,77.1,24.5,4,0
M,6.27,0,64.4,34.5,11,0
M,8.31,0,72.8,33.2,4,0
F,5.80517395982783,0,69.7,34.7,25,0
M,8.49,2,41.8,27.4,6,1
M,7.62,1,63.4,26.2,6,0
M,7.29,1,84.3,27.9,3,0
F,7.03517395982783,1,63.2,48.7,30,0
M,6.49,1,66.3,40.9,5,0
F,6.35517395982783,1,60.7,39.8,24,0
M,6.06,1,62.2,40.9,4,0
F,8.25517395982783,1,81.5,30.1,8,0
F,4.49517395982783,0,64.8,45.9,6,0
M,9.84,0,55.7,26.4,7,0
M,5.23,1,30.7,34,7,0
M,7.96,0,61.1,37.8,3,0
M,5.27,0,44.4,37,5,0
F,5.15517395982783,2,46.1,27.3,70,0
F,10.8551739598278,1,77.5,40.7,44,0
F,5.00517395982783,0,76.5,47.4,20,0
F,2.58517395982783,1,45,38.9,29,0
F,3.98517395982783,1,78.2,40.9,24,0
M,4.71,0,73.5,25.9,13,0
M,10.89,0,58.6,31.4,6,0
M,6.02,1,76.8,26.4,8,0
M,7.84,0,48.5,41.1,4,0
F,3.27517395982783,2,53.5,39.8,18,0
M,6.38,1,50.7,50.6,12,0
M,7.18,1,54.7,34.7,11,0
M,10,2,78.5,22.1,3,1
M,3.76,0,52,39.9,3,0
M,7.01,0,54.2,44.3,5,0
F,6.53517395982783,2,56.6,35.8,9,0
M,2.95,1,70.3,43.9,3,0
M,5.45,0,63.9,36,7,0
F,5.11517395982783,1,78.3,38.4,26,0
M,0,1,59.5,38.2,3,0
M,7,1,52.5,35.6,2,0
F,7.12517395982783,0,62,27.7,15,0
M,4.4,0,68.4,39.3,10,0
M,2.15,1,56.8,40.6,11,0
F,9.47517395982783,0,71.3,40.1,32,0
F,6.43517395982783,0,89.7,32.5,16,0
F,8.31517395982783,1,60.9,41.8,26,0
M,9.03,1,68.4,30.5,4,0
M,4.2,0,84.1,31.5,5,0
M,7.53,2,60.1,32.9,5,0
F,5.17517395982783,1,57.7,34.8,29,0
M,5.34,2,54.7,33.6,7,1
M,5.29,1,72.6,36.2,4,0
F,5.77517395982783,1,74,36.1,36,0
F,8.55517395982783,1,66,35.4,51,0
F,6.08517395982783,1,68.3,31.8,26,0
M,5.12,0,83.1,41.7,5,0
M,4.81,0,78.2,27.2,8,0
F,6.62517395982783,2,51,39.9,49,0
F,3.53517395982783,0,67.6,35.1,21,0
F,4.51517395982783,1,69,30.4,16,0
M,5.37,1,76.4,40.5,7,0
M,4.09,0,65,33.8,8,0
F,5.47517395982783,1,60,33.9,8,0
F,4.24517395982783,2,62.2,35.6,17,0
M,10.51,0,46.4,21,5,0
M,8.82,0,67.4,32.6,7,0
M,6.62,2,60.5,33.4,3,1
F,5.64517395982783,0,73.3,39.1,16,0
F,11.2551739598278,0,55.3,37.9,25,0
F,6.58517395982783,2,62.4,33.8,18,1
M,5.28,0,55.9,38.3,4,0
M,6.26,2,54.8,38.5,5,0
F,6.53517395982783,2,76,38.3,20,0
M,9.03,2,62,35,7,1
F,5.72517395982783,0,72.9,50.1,22,0
M,10.75,0,54.2,30.1,3,0
F,3.56517395982783,1,68.7,35,14,0
M,7.24,2,47.3,40.7,6,0
F,3.27517395982783,0,61.8,21,26,0
M,10.04,0,61.5,30.9,9,0
M,4.67,0,74.5,27.9,4,0
M,5.35,0,69.7,31.2,5,0
F,8.08517395982783,1,65.4,29.7,14,1
F,8.91517395982783,1,77.6,32.6,25,1
F,2.99517395982783,1,69.8,43.7,8,0
F,4.90517395982783,0,74,43.9,21,0
F,2.28517395982783,0,76.7,33.6,42,0
F,6.11517395982783,0,66.7,37.9,14,0
M,5.25,0,64,31.8,15,0
F,4.90517395982783,0,71.4,35.9,14,0
M,3.79,2,62.5,34.3,2,1
F,4.81517395982783,1,72.1,29,30,0
F,3.90517395982783,0,80.8,37,30,0
F,7.09517395982783,1,77.7,38.7,31,0
M,9.29,2,62.9,32.3,10,0
F,0.945173959827833,1,52.1,30.1,41,0
F,5.48517395982783,1,66.8,37.9,44,0
M,4.45,1,65.9,32.8,4,0
F,7.00517395982783,1,80.7,43.3,19,0
M,3.12,0,62.9,39.4,10,0
M,5.13,2,64.9,39.8,3,1
F,3.17517395982783,2,76.3,26.2,18,0
M,7.24,1,61.7,38.2,8,0
F,6.02517395982783,2,65.5,37.7,12,0
F,5.37517395982783,1,88,41.2,8,0
F,6.70517395982783,1,85.3,42.7,11,0
M,4.88,0,75,33.1,3,0
M,1.62,0,70.7,31,4,0
F,7.26517395982783,0,55.8,29.8,36,0
M,6.22,2,74.1,33.6,10,1
M,5.11,2,68.1,34.1,3,1
F,8.23517395982783,2,70.1,34.2,31,1
M,8.55,2,61.2,40,7,1
M,2.77,2,67.3,33.3,4,0
F,3.82517395982783,1,65.2,36.7,32,0
M,9.37,1,71.2,27.8,6,0
F,9.32517395982783,0,84.5,42.9,9,0
F,3.92517395982783,1,71.8,48.3,22,0
F,2.82517395982783,0,47.6,37.9,24,0
M,3.91,2,55.8,30,7,0
F,4.52517395982783,2,48.5,44.2,11,0
M,1.54,0,57.9,45.6,7,0
M,5.58,1,74.1,29.4,6,0
F,2.57517395982783,2,72.2,35.5,42,0
M,2.47,0,60.3,27.4,4,0
M,7.79,1,70.6,33.2,5,0
M,3.79,1,58.4,45.6,8,0
M,5.32,1,50.4,35.6,12,0
M,7.07,2,50.6,36.8,4,1
M,7.53,1,57.1,25.5,8,0
F,4.93517395982783,0,84.4,34.4,19,0
M,5.61,1,51.4,26,4,0
F,3.71517395982783,1,82.3,43,51,0
M,9.87,0,83.3,35,5,0
M,7.12,0,65.2,32.3,4,0
M,2.74,1,66.8,37.3,9,0
F,5.78517395982783,0,60.1,46.3,46,0
M,7.28,0,67.1,28.4,5,0
M,6.7,1,75.3,41.3,7,0
M,10.07,2,67.5,43.1,3,1
F,9.20517395982783,1,79.3,47.8,32,0
M,4.15,1,81.6,25.7,4,0
F,5.55517395982783,1,71.5,32.2,6,0
F,2.57517395982783,1,71.3,30.5,17,0
M,6.12,1,66.7,36.5,4,0
M,5.88,0,71.5,33.3,13,0
F,12.5351739598278,2,54,46.6,30,1
F,6.01517395982783,0,72.2,23.8,21,0
F,0.545173959827833,0,69.8,35.2,20,0
F,4.09517395982783,1,57.1,32.8,17,0
F,6.05517395982783,1,93.2,45,7,0
M,2.36,1,55.7,43.7,2,0
M,3.33,0,57,36.4,6,0
M,4.59,2,70.7,40.7,12,0
M,6.35,1,44.2,34.5,13,0
F,5.36517395982783,2,57.9,37.3,21,0
F,3.55517395982783,1,49.1,39.7,5,0
F,7.74517395982783,0,55.8,37.6,39,0
F,4.42517395982783,0,65.8,35,24,0
M,4.25,1,71.2,36.9,7,0
F,2.32517395982783,1,80.6,40,14,0
F,3.80517395982783,1,77,30.9,26,0
M,7.13,0,81.5,47.8,14,0
F,1.73517395982783,0,74.4,30.3,31,0
F,5.59517395982783,1,61.7,33.9,14,0
M,7.29,0,80.7,47.5,3,0
M,4.56,2,61.5,24.8,5,1
F,6.37517395982783,0,60,35.3,14,0
M,2.71,2,85.7,37.3,12,0
F,9.05517395982783,2,76.8,32.1,25,1
F,8.52517395982783,1,70,37.2,9,0
M,6.09,1,76.4,36.4,4,1
F,1.38517395982783,1,77.9,49.8,29,0
F,3.16517395982783,1,51,34.9,62,0
M,7.94,2,66.2,28.6,7,1
M,9.78,2,53.2,30.4,7,1
F,6.51517395982783,0,68.8,41.9,38,0
M,8.62,2,59.3,36.1,7,0
F,4.25517395982783,0,83.6,34.7,19,0
M,5.03,0,73.6,40.7,6,0
F,5.77517395982783,1,57.6,43.5,25,0
F,6.83517395982783,0,67.1,29.6,17,0
F,1.95517395982783,1,52.8,41.9,31,0
M,7.85,1,67.8,38.1,8,0
F,9.08517395982783,1,73.9,38.6,31,0
M,2.63,2,70.5,32.5,8,0
M,2.11,2,44.2,28.6,5,0
M,6.38,0,63.3,22.4,1,0
F,4.13517395982783,0,73.4,39,15,0
M,0,1,71,44.2,1,0
M,7.52,0,81.2,31.7,8,0
M,5.89,1,51.9,29.8,5,0
F,4.58517395982783,1,73.6,28.9,13,0
F,11.0551739598278,0,59.5,33.7,28,0
F,6.12517395982783,1,69.7,44.7,23,0
F,3.89517395982783,1,72.2,27.3,23,0
M,5.75,1,75.6,37,10,0
F,3.17517395982783,0,60.4,34.1,13,0
F,3.87517395982783,1,69.5,39.2,12,0
F,6.74517395982783,0,53.3,48.3,23,0
F,4.38517395982783,2,50.4,43.8,33,0
F,4.64517395982783,1,74,44.7,18,0
M,9.67,0,66.7,34.5,5,0
F,7.92517395982783,2,47.9,33.7,19,0
F,7.78517395982783,1,57.1,37.6,21,0
M,6.82,0,67.5,34.9,6,0
F,6.98517395982783,1,86,32,24,0
F,9.41517395982783,1,79.8,34.6,19,0
M,5.45,2,76.9,38.9,5,1
M,10.14,0,45.9,32.1,3,0
M,3.12,1,66.1,28.7,4,0
F,5.13517395982783,2,73,37.2,11,0
F,2.32517395982783,1,72,31.9,43,0
F,4.91517395982783,2,72.3,44.4,27,0
F,7.07517395982783,0,64.5,36.7,23,0
F,9.40517395982784,1,88.4,34.3,22,1
F,4.11517395982783,0,85,31.2,29,0
M,5.51,2,66.2,34.1,2,0
F,4.87517395982783,1,55.5,44,16,0
F,3.92517395982783,0,91.9,40.4,34,0
M,2.53,0,60.7,35.4,3,0
F,5.92517395982783,1,81.7,34.7,21,0
F,1.44517395982783,0,90.2,29.2,28,0
F,6.05517395982783,1,56,41.2,24,0
M,5.55,1,70.8,28.5,5,0
M,3.86,0,63.1,28.4,12,0
M,2.97,0,73.5,28.7,4,0
M,2.04,1,71.1,39.9,8,0
F,10.4551739598278,0,90.6,35.5,35,0
F,2.42517395982783,2,74.4,42.1,37,0
M,9.39,0,67.2,43.3,10,0
M,7,1,80.8,42.6,4,0
M,4.59,0,64,29.5,7,0
M,2.61,1,62.9,30.8,6,0
M,8.11,1,94.2,27.3,6,1
F,10.0951739598278,0,57.4,36.5,20,0
M,3.16,1,61.4,46,5,0
F,5.02517395982783,2,67.8,44.9,11,0
F,8.40517395982784,1,54.6,36.1,17,0
M,6.34,1,42,32.1,17,0
M,10.5,0,80,34.8,2,0
M,4.07,0,57.9,32.1,7,0
M,6.86,1,60.8,36,3,0
F,2.64517395982783,2,62.8,45.9,13,0
F,11.0151739598278,0,55.5,41.2,14,0
M,3.67,0,54.4,28.7,8,0
M,0,1,69.2,31.3,13,0
F,5.46517395982783,1,96.1,28.4,12,0
M,5.15,1,76.1,29.5,8,0
F,10.5651739598278,2,76.3,34.7,21,1
F,4.92517395982783,1,49.2,45.8,46,0
M,5.47,2,67,21,2,1
F,7.25517395982783,1,53.1,38.1,11,0
F,9.74517395982783,1,76.6,33.3,55,0
F,5.61517395982783,2,64.6,37,19,1
M,8.1,0,67.8,36.5,7,0
M,6.8,1,66.2,39.4,17,0
M,4.76,0,60.3,40.8,13,0
M,5.69,1,49,44.4,6,0
F,5.84517395982783,0,74.2,43.4,29,0
F,3.48517395982783,1,50.7,38.7,24,0
M,8.53,0,53.1,40.7,13,0
M,2.04,1,63.7,34.6,6,0
F,8.70517395982783,1,58.8,35.3,34,0
F,8.16517395982783,2,70.4,26.3,10,1
M,5.27,2,79.4,38.3,8,0
M,3.59,1,70.3,31.8,5,0
F,5.20517395982783,1,69.7,46.6,40,0
M,6.68,0,67.6,39.8,9,0
M,7.36,0,77.6,33.3,7,0
F,6.49517395982783,1,45.1,30.9,22,0
M,7.98,2,71.7,21,7,1
M,4.11,1,56.1,34.8,3,0
F,6.36517395982783,1,52.5,42.8,35,0
F,1.85517395982783,1,67.3,27.2,19,0
F,7.68517395982783,1,62.6,33.2,32,0
M,5.88,1,74.3,35.4,11,0
M,4.46,1,80.5,27.9,3,0
M,8.4,2,39.4,37.8,3,0
M,7.23,1,66.4,42.1,9,0
F,0.275173959827833,2,90.8,31.3,19,0
M,5.6,1,77.7,28.1,8,0
F,2.13517395982783,1,84.6,41.6,45,0
M,8.17,2,68.5,39.5,5,1
F,11.9951739598278,2,50.1,33,15,1
M,4.2,2,53.8,40.2,6,0
M,5.69,1,75.8,29.3,6,1
M,4.87,1,78.8,32.3,4,0
F,6.65517395982783,1,58.5,39.9,18,0
F,7.38517395982783,2,64.1,46.9,10,1
M,8.72,1,70.4,28.4,3,0
F,3.30517395982783,0,46.3,37.2,6,0
F,9.70517395982783,0,63.1,31.2,16,0
F,3.44517395982783,1,86.7,34.6,14,0
M,6.19,1,93.5,31.5,7,0
F,8.67517395982783,2,66,30.5,23,0
M,7.28,1,89.3,34.7,5,0
F,3.42517395982783,1,61,41.5,39,0
M,3.75,1,57.6,42,6,0
F,4.61517395982783,0,40.4,40.7,23,0
M,5.37,0,78.8,31.2,3,0
M,8.37,1,62.8,25.7,5,0
M,2.27,1,95.4,21,4,0
M,6.67,2,71.3,31,6,0
M,7.02,0,69.6,27.1,10,0
F,7.17517395982783,2,45.6,38.3,21,1
M,6.67,0,85.3,36.1,7,0
F,9.57517395982783,1,62.9,30.1,19,0
M,6.72,1,65.4,36.4,2,0
F,7.91517395982783,0,40.8,23.3,21,0
M,6.91,2,78.4,25.5,5,0
M,9.98,2,79.2,37.2,14,1
F,1.02517395982783,2,60,34.4,34,0
M,8.71,0,68.4,33.7,8,0
M,4.85,1,72,33.5,7,0
F,5.07517395982783,1,78.9,34.5,39,0
F,3.35517395982783,2,68.6,30.6,49,0
F,1.10517395982783,0,88,31.1,30,0
F,4.82517395982783,0,64.4,34.2,7,0
M,3.78,2,60,31.9,3,1
F,7.01517395982783,0,61.7,41.2,25,0
M,1.82,0,36.9,40.8,6,0
M,9.08,0,57.6,38.6,4,0
M,6.18,1,79.4,36.1,5,0
M,4.88,1,70.5,41.9,4,0
M,3.73,1,57.5,35.2,2,0
F,3.80517395982783,2,71.5,23.9,18,0
M,2.67,0,43.1,35.8,7,0
F,4.41517395982783,2,63.9,33.5,16,0
M,5.52,2,73.6,38.2,3,1
M,5.06,2,75.7,33.4,7,0
M,1.96,1,58,27.8,8,0
M,4.84,1,78.3,45.6,6,0
F,3.54517395982783,0,89.8,41.9,26,0
M,5.9,2,62.2,40.7,9,1
F,10.4351739598278,1,76.2,23.4,24,0
F,7.33517395982783,1,48.7,35.5,15,0
F,4.99517395982783,1,43.8,36.7,17,0
M,1.44,1,74.7,27.2,3,0
M,1.96,1,67.9,29.1,3,0
F,1.55517395982783,1,69.8,37.1,17,0
F,7.58517395982783,1,60.4,47.4,8,0
F,3.86517395982783,1,63.8,36.3,27,0
F,5.93517395982783,1,77.1,32.4,19,0
F,4.21517395982783,0,88,33.8,12,0
M,5.73,2,64.8,28.6,3,1
F,9.27517395982783,2,47.6,36.7,34,0
F,4.06517395982783,1,82.7,31,46,0
F,4.92517395982783,0,74.6,27.2,22,0
M,3.48,0,75.6,25.9,4,0
F,7.96517395982783,2,69.6,31.7,38,1
F,3.21517395982783,2,95.3,34.8,32,1
M,2.67,0,68.3,37.2,4,0
M,2.03,1,73.6,44,4,0
F,2.25517395982783,0,45.1,46.4,11,0
M,6.68,1,60.4,37.3,4,0
F,12.1951739598278,1,59.1,32.7,13,0
M,3.01,1,67,44.4,5,0
F,8.15517395982783,2,71.6,32.9,16,1
M,6.13,2,58.4,32.5,4,1
M,2.74,0,88.2,36.6,9,0
M,4.81,1,54.6,29.4,13,0
F,5.19517395982783,1,62,28.2,11,0
F,4.04517395982783,0,70.2,44.5,25,0
M,10.33,0,52.4,35.1,6,0
F,1.00517395982783,1,74.2,38.7,31,0
F,6.72517395982783,2,75,41.3,22,0
M,6.33,1,63.9,41.4,1,0
F,4.32517395982783,0,90.3,39.3,32,0
F,6.14517395982783,0,68.4,32.2,23,0
F,7.96517395982783,2,70.8,37.7,26,1
F,6.15517395982783,1,55.9,30.6,6,0
M,6.54,1,47.3,39.3,6,0
M,7.23,1,59.8,41.1,8,0
F,0.695173959827833,2,63.5,39.3,15,0
F,9.47517395982783,1,61.9,43.7,33,0
M,11.2,1,76.6,32.6,5,1
M,7.95,0,38.7,40.5,5,0
M,8.03,1,53.8,43.7,8,0
F,2.25517395982783,0,45.5,52,14,0
M,5.2,0,83.5,38.4,3,0
M,3.47,1,60.6,26.7,6,0
F,4.30517395982783,2,61.2,31.2,18,1
M,7.92,0,54.2,36.7,5,0
F,3.76517395982783,0,78.2,43.9,23,0
M,5.17,0,62.4,36.5,7,0
F,1.00517395982783,1,70.1,41.8,17,0
M,5.1,1,43,31,5,0
M,5.73,0,81.5,28.8,3,0
M,3.74,1,72.1,30.1,4,0
F,3.97517395982783,1,74,29.5,27,0
M,10.22,0,82.2,41.9,3,0
M,2.48,1,65.1,35.8,5,0
F,3.14517395982783,0,65.4,38,22,0
F,3.75517395982783,0,76,44.7,26,0
M,8.5,2,72.5,45,4,1
F,11.0251739598278,0,64.5,32.7,22,0
M,6.33,0,67.9,24.2,3,0
M,3.71,1,61.3,37.5,1,0
M,4.43,1,76,44.6,3,0
M,8.16,0,78.6,46,4,0
M,3.22,2,67.5,31.8,6,0
M,9.13,0,90,44.5,6,0
F,9.31517395982783,1,48.9,39.1,18,0
M,5.68,2,64.6,41.6,4,1
F,7.39517395982783,2,88,35.5,82,1
M,7.37,2,62.3,42.1,4,1
F,9.66517395982783,1,48.2,38.6,26,0
M,2.87,1,84.2,36.3,7,0
M,8.45,2,74,41.1,5,1
F,4.83517395982783,0,53.1,32.1,20,0
M,3.58,2,76.7,40.5,1,1
M,5.76,0,55.1,31.4,6,0
F,5.23517395982783,1,51.3,37.1,11,0
M,3.03,0,65.6,21,9,0
F,1.78517395982783,0,61.6,39.4,15,0
M,3.14,0,54.2,41.9,9,0
F,9.40517395982784,2,63,33.3,42,1
F,10.6851739598278,0,55.3,31.5,23,0
F,7.40517395982783,2,68.1,36.1,16,0
M,8.46,0,67.2,41.4,4,0
M,4.21,0,76.4,39.5,2,0
M,5.31,0,62,32.6,5,0
F,6.48517395982783,2,51.4,33.5,33,0
M,2.8,0,51.6,32.6,4,0
F,3.30517395982783,2,64.5,36.7,17,1
F,6.01517395982783,0,85.9,32,47,0
M,4.7,2,77.6,25.6,8,1
F,3.11517395982783,1,59.7,41.9,38,0
M,6.47,0,78.8,44.8,3,0
M,4.84,1,53.5,34.6,3,0
F,8.32517395982783,0,79.6,38.1,11,0
M,5.49,1,62.8,40.1,5,0
F,5.02517395982783,0,76.7,28,39,0
M,5.82,1,74.9,33,5,0
F,5.34517395982783,1,64.1,45.2,21,0
F,4.10517395982783,0,71.4,31.5,31,0
M,4.5,0,54.6,21,3,0
F,7.64517395982783,2,66.5,34.5,11,1
F,7.39517395982783,0,80.5,43.4,16,0
M,8.72,0,100,39.9,12,0
F,1.54517395982783,0,75.9,31.7,49,0
M,4.52,1,68.5,42.4,5,0
M,4.46,1,55.3,46.3,4,0
M,5.93,1,80.2,34.4,6,0
F,4.64517395982783,0,47.5,48.9,6,0
M,4.22,0,57.8,32.2,10,0
M,7.46,1,71.8,36,6,0
M,5.95,0,52.9,28.9,6,0
M,2.58,0,86,29.9,3,0
F,9.11517395982783,1,80.6,22.5,26,0
M,7.99,0,60.6,38.8,3,0
M,4.07,1,60.8,33.7,9,0
M,7.58,0,51.6,31.9,5,0
M,3.66,0,50.6,37.4,5,0
M,8.31,1,72.8,33,3,1
F,5.23517395982783,0,75,21,13,0
M,3.49,2,71.7,49.5,7,0
F,4.84517395982783,1,70.6,37.8,15,0
F,3.86517395982783,1,60.7,27.9,21,0
F,6.25517395982783,1,71.8,37,2,0
M,5.94,2,49.7,33.3,7,0
M,5.59,0,67.5,44.4,6,0
M,4.11,2,85.2,39.3,4,1
F,0.275173959827833,2,83.4,31.4,55,0
F,6.00517395982783,0,61.9,34.7,11,0
F,1.03517395982783,0,63.4,38.2,14,0
M,6.11,1,84,40.9,4,0
M,8.33,0,89,37.2,4,0
M,6.18,0,49.4,34.2,2,0
M,4.53,0,62.3,35.1,8,0
M,5.05,1,70.3,31.4,3,0
F,5.44517395982783,2,82.1,37.1,10,0
F,4.40517395982783,2,57.4,35,22,0
M,4.04,1,75.2,37.3,9,0
M,3.19,1,63.8,40.9,7,0
M,8.47,2,96.1,21,2,1
F,5.73517395982783,1,72.6,33.7,11,0
F,8.16517395982783,2,65.8,35.2,29,1
F,5.14517395982783,1,63.4,32.4,14,0
M,5.68,1,80.2,27.4,2,0
M,5.07,1,75.6,27.8,4,0
M,6.66,0,54.4,38.9,6,0
F,7.84517395982783,0,70.1,43.6,13,0
F,6.37517395982783,0,51.3,30.1,25,0
M,3.82,2,58.4,38.8,6,0
M,3.55,2,51.9,32.5,7,1
M,9.65,1,51.5,44,13,0
M,4.8,0,59.2,32.7,3,0
M,4.77,0,55.7,38.2,6,0
M,9.16,1,73.8,39.8,5,0
M,8.22,1,77.1,34,7,0
F,7.10517395982783,0,64.6,38.2,27,0
F,4.77517395982783,0,54,38.5,14,0
M,11.38,1,77.2,41.2,6,0
F,6.75517395982783,1,43.1,25.8,24,0
M,6.87,0,44.2,32.8,5,0
M,5.07,0,76.2,34.9,5,0
M,1.96,0,75.4,35.6,6,0
F,2.43517395982783,1,79.2,38.4,16,0
M,6.52,1,64.9,39.5,3,0
F,6.75517395982783,1,52.3,43.3,21,0
M,4.9,2,61.3,43.6,6,0
M,2.57,1,74.3,30.4,2,0
F,2.17517395982783,0,58.2,35.2,45,0
F,4.95517395982783,1,59,40.5,38,0
M,1.86,2,50.7,26.7,2,0
M,7.75,2,53.4,39,4,1
F,8.65517395982784,0,77.6,36.1,13,0
M,12.57,0,72.9,22.4,2,0
F,7.97517395982783,1,53.5,37.5,28,0
F,4.29517395982783,2,54.4,41.6,31,0
M,3.32,1,60.7,35.3,4,0
M,0,1,74.1,38.4,6,0
M,4.01,0,53.4,24.4,2,0
F,5.33517395982783,2,65.4,35.5,53,0
M,7.92,0,41.6,29.9,4,0
M,7.03,1,52.3,33.1,3,0
M,6.97,1,72.5,34.3,6,0
F,6.30517395982783,2,78.3,39.9,34,1
M,7.15,2,53.5,35,5,1
M,9.12,1,58.1,37.4,9,0
F,3.11517395982783,0,77.1,27.2,8,0
F,4.63517395982783,2,62.8,37.1,8,1
M,2.03,1,60.9,39.1,3,0
F,9.82517395982783,0,73.7,25.9,27,0
M,8.74,0,69.8,25.5,5,0
F,7.65517395982783,2,80.9,34,31,1
F,2.77517395982783,2,77,32.4,11,0
