gender,years_exp,education,test_score,age,career_break_months,senior_hire,hire_score
M,3.2,1,74.6,38.4,7,0,11.4
M,4.78,2,67.8,36.4,1,1,15.7
M,7.44,0,53.9,43.1,6,0,8.1
M,2.22,2,74.4,35.7,4,0,14.9
F,7.39517395982783,2,72.6,42.3,14,0,17.4
F,6.64517395982783,0,76.8,40.9,21,0,9.3
F,6.46517395982783,1,98.8,32.8,20,0,14.8
M,0.0,0,76.7,36.9,6,0,6.0
F,5.51517395982783,1,73.1,35.8,26,0,12.5
F,7.39517395982783,0,86.7,38.4,37,0,10.4
M,3.59,2,51.9,45.6,10,0,14.0
F,6.00517395982783,0,54.3,50.6,20,0,7.4
F,0.275173959827833,1,63.5,41.0,9,0,9.2
F,7.45517395982783,1,60.1,35.9,31,0,12.5
F,4.11517395982783,0,76.3,37.6,23,0,8.0
M,7.68,0,64.2,39.8,3,0,8.9
F,1.16517395982783,2,88.9,39.1,12,0,15.4
F,7.50517395982783,0,86.2,35.3,16,0,10.4
F,5.18517395982783,0,77.2,40.9,47,0,8.6
M,7.52,0,63.4,38.7,8,0,8.8
F,3.46517395982783,1,75.4,43.1,46,0,11.6
M,3.95,1,77.7,32.7,6,0,12.0
F,11.3851739598278,0,55.2,51.3,29,0,10.2
F,3.70517395982783,1,72.2,45.7,19,0,11.5
M,3.73,1,76.5,35.8,7,0,11.8
F,5.08517395982783,1,70.6,38.4,40,0,12.1
M,2.94,1,86.9,25.1,3,0,12.2
F,8.75517395982783,0,82.6,32.8,16,0,10.8
F,10.0851739598278,0,58.1,29.3,39,0,9.7
M,3.74,1,69.5,29.9,3,0,11.3
F,1.45517395982783,1,58.0,42.5,10,0,9.4
M,8.43,1,75.0,38.9,9,0,14.1
M,8.27,2,57.6,24.3,5,0,16.8
M,7.55,0,79.1,35.6,10,0,9.9
F,8.66517395982783,2,72.7,43.9,22,0,18.0
M,3.33,1,79.7,35.1,4,0,11.9
M,5.08,2,66.3,37.3,4,1,15.8
M,2.04,2,50.5,24.8,2,0,13.2
F,2.22517395982783,0,89.2,45.5,22,0,8.0
M,7.95,2,65.9,22.8,2,0,17.2
M,3.82,1,84.5,41.7,6,0,12.4
F,11.4751739598278,1,73.2,38.5,53,0,15.5
F,5.96517395982783,2,76.1,36.7,30,0,16.9
F,4.17517395982783,1,90.0,36.1,10,0,13.0
M,7.49,1,72.1,35.7,4,1,13.4
M,10.0,0,84.8,37.5,6,0,11.5
M,6.72,1,50.2,44.7,6,0,11.5
M,2.46,0,78.5,36.0,4,0,7.3
M,6.43,1,65.1,23.2,3,0,12.4
M,8.94,1,66.4,33.1,5,0,13.7
M,4.27,2,68.1,39.9,4,1,15.5
M,3.57,1,72.2,32.4,6,0,11.4
M,8.04,1,87.9,33.2,5,0,14.8
F,6.12517395982783,0,45.8,41.6,39,0,6.9
M,2.74,0,68.5,31.4,5,0,6.8
F,4.82517395982783,2,59.4,24.2,51,0,15.2
M,3.61,0,82.0,43.8,5,0,8.2
M,6.24,2,62.9,42.5,7,1,16.1
F,6.04517395982783,1,73.5,26.1,24,0,12.8
M,8.38,1,63.2,24.1,6,0,13.2
M,7.27,1,76.0,46.4,9,0,13.6
F,1.86517395982783,1,80.2,21.7,8,0,11.2
F,6.79517395982783,1,63.2,33.9,20,0,12.4
F,8.01517395982783,1,68.6,35.8,24,0,13.4
F,6.91517395982783,1,51.0,43.7,20,0,11.6
F,8.35517395982783,0,71.7,36.8,22,0,9.8
F,4.40517395982783,0,78.3,39.7,26,0,8.3
M,3.12,1,61.3,30.4,4,0,10.5
F,8.10517395982783,0,81.4,35.8,19,0,10.4
M,2.84,1,43.1,47.2,9,0,9.0
M,0.1,1,45.8,27.1,3,0,7.9
M,8.06,1,51.3,41.6,12,0,12.2
F,3.96517395982783,0,62.2,33.6,12,0,6.9
F,5.00517395982783,1,68.2,29.9,24,0,11.9
M,2.01,1,67.1,31.6,8,0,10.3
F,2.46517395982783,0,67.2,38.0,20,0,6.5
F,2.88517395982783,2,76.7,36.3,13,0,15.4
M,4.6,1,62.3,34.1,7,0,11.3
M,6.42,0,52.8,40.3,4,0,7.5
F,0.275173959827833,1,53.1,30.2,22,0,8.5
F,7.65517395982783,1,93.4,33.2,42,0,15.0
M,2.55,1,39.8,30.6,2,0,8.7
F,3.10517395982783,1,65.9,30.1,20,0,10.8
M,7.19,2,85.5,36.9,5,1,18.2
F,5.58517395982783,1,73.8,31.4,14,0,12.6
M,1.66,1,58.0,36.8,5,0,9.5
F,10.3851739598278,2,68.0,44.0,38,1,18.6
M,3.35,1,78.4,42.1,5,0,11.8
F,6.39517395982783,0,82.5,38.8,21,0,9.6
M,6.0,0,57.2,43.2,8,0,7.6
M,9.03,1,77.1,46.3,8,1,14.5
F,4.63517395982783,2,71.0,39.7,18,0,15.9
F,8.29517395982783,1,81.3,30.8,36,0,14.4
M,3.65,0,84.7,36.8,7,0,8.4
M,8.31,2,63.9,37.5,5,1,17.2
F,3.86517395982783,1,50.6,33.1,58,0,10.1
M,4.59,0,72.8,31.6,1,0,8.0
M,10.24,1,89.3,30.4,3,1,16.0
M,6.29,0,76.2,27.1,13,0,9.1
F,6.04517395982783,0,70.8,43.8,17,0,8.6
M,11.11,1,96.8,33.6,5,1,16.9
M,6.4,1,55.5,35.9,11,1,11.7
M,3.46,2,78.8,35.1,10,1,15.9
F,7.61517395982783,0,61.2,32.4,33,0,8.7
M,2.55,2,68.6,38.4,7,0,14.7
M,8.32,1,69.1,26.9,5,0,13.6
F,8.78517395982783,0,86.2,32.8,27,0,11.0
F,4.34517395982783,1,56.8,40.5,29,0,10.8
M,3.93,1,61.6,45.4,5,0,10.9
M,5.94,0,48.9,36.8,8,0,7.0
F,5.81517395982783,0,73.8,43.6,15,0,8.7
M,3.06,2,62.5,41.6,4,1,14.5
F,7.19517395982783,0,73.1,43.9,30,0,9.3
M,0.4,1,55.1,37.1,5,0,8.7
M,4.42,1,63.7,29.7,10,0,11.3
F,4.76517395982783,2,80.5,37.8,15,0,16.6
F,5.09517395982783,1,65.9,32.8,8,0,11.8
F,6.54517395982783,1,75.5,38.7,37,0,13.2
F,2.70517395982783,2,74.3,39.6,16,0,15.2
F,7.24517395982783,1,63.8,35.2,23,0,12.7
F,5.32517395982783,1,49.3,35.1,17,0,10.7
F,4.14517395982783,0,79.8,41.1,19,0,8.3
F,2.35517395982783,1,70.0,48.3,14,0,10.7
M,2.54,1,79.8,33.0,11,0,11.5
F,6.67517395982783,2,43.8,26.5,14,0,15.0
M,3.09,1,48.1,21.0,6,0,9.5
M,5.66,0,42.3,36.3,3,0,6.4
F,8.42517395982783,1,57.5,36.8,32,0,12.8
M,8.08,2,80.5,34.6,3,0,18.3
M,9.4,0,74.8,42.3,9,0,10.5
F,5.03517395982783,0,67.6,27.0,15,0,7.9
F,3.06517395982783,0,69.6,36.9,18,0,7.0
M,8.05,2,77.1,24.5,4,0,18.0
M,6.27,0,64.4,34.5,11,0,8.3
M,8.31,0,72.8,33.2,4,0,9.9
F,5.80517395982783,0,69.7,34.7,25,0,8.4
M,8.49,2,41.8,27.4,6,1,15.8
M,7.62,1,63.4,26.2,6,0,12.9
M,7.29,1,84.3,27.9,3,0,14.2
F,7.03517395982783,1,63.2,48.7,30,0,12.6
M,6.49,1,66.3,40.9,5,0,12.5
F,6.35517395982783,1,60.7,39.8,24,0,12.0
M,6.06,1,62.2,40.9,4,0,12.0
F,8.25517395982783,1,81.5,30.1,8,0,14.4
F,4.49517395982783,0,64.8,45.9,6,0,7.4
M,9.84,0,55.7,26.4,7,0,9.4
M,5.23,1,30.7,34.0,7,0,9.4
M,7.96,0,61.1,37.8,3,0,8.9
M,5.27,0,44.4,37.0,5,0,6.4
F,5.15517395982783,2,46.1,27.3,70,0,14.4
F,10.8551739598278,1,77.5,40.7,44,0,15.5
F,5.00517395982783,0,76.5,47.4,20,0,8.5
F,2.58517395982783,1,45.0,38.9,29,0,9.1
F,3.98517395982783,1,78.2,40.9,24,0,12.1
M,4.71,0,73.5,25.9,13,0,8.1
M,10.89,0,58.6,31.4,6,0,10.2
M,6.02,1,76.8,26.4,8,0,13.0
M,7.84,0,48.5,41.1,4,0,7.9
F,3.27517395982783,2,53.5,39.8,18,0,14.0
M,6.38,1,50.7,50.6,12,0,11.3
M,7.18,1,54.7,34.7,11,0,12.0
M,10.0,2,78.5,22.1,3,1,19.1
M,3.76,0,52.0,39.9,3,0,6.1
M,7.01,0,54.2,44.3,5,0,7.9
F,6.53517395982783,2,56.6,35.8,9,0,15.8
M,2.95,1,70.3,43.9,3,0,11.0
M,5.45,0,63.9,36.0,7,0,7.8
F,5.11517395982783,1,78.3,38.4,26,0,12.6
M,0.0,1,59.5,38.2,3,0,8.8
M,7.0,1,52.5,35.6,2,0,11.8
F,7.12517395982783,0,62.0,27.7,15,0,8.5
M,4.4,0,68.4,39.3,10,0,7.6
M,2.15,1,56.8,40.6,11,0,9.7
F,9.47517395982783,0,71.3,40.1,32,0,10.3
F,6.43517395982783,0,89.7,32.5,16,0,10.1
F,8.31517395982783,1,60.9,41.8,26,0,13.0
M,9.03,1,68.4,30.5,4,0,13.9
M,4.2,0,84.1,31.5,5,0,8.6
M,7.53,2,60.1,32.9,5,0,16.6
F,5.17517395982783,1,57.7,34.8,29,0,11.2
M,5.34,2,54.7,33.6,7,1,15.1
M,5.29,1,72.6,36.2,4,0,12.3
F,5.77517395982783,1,74.0,36.1,36,0,12.7
F,8.55517395982783,1,66.0,35.4,51,0,13.5
F,6.08517395982783,1,68.3,31.8,26,0,12.4
M,5.12,0,83.1,41.7,5,0,9.0
M,4.81,0,78.2,27.2,8,0,8.5
F,6.62517395982783,2,51.0,39.9,49,0,15.5
F,3.53517395982783,0,67.6,35.1,21,0,7.1
F,4.51517395982783,1,69.0,30.4,16,0,11.7
M,5.37,1,76.4,40.5,7,0,12.6
M,4.09,0,65.0,33.8,8,0,7.2
F,5.47517395982783,1,60.0,33.9,8,0,11.5
F,4.24517395982783,2,62.2,35.6,17,0,15.1
M,10.51,0,46.4,21.0,5,0,9.1
M,8.82,0,67.4,32.6,7,0,9.7
M,6.62,2,60.5,33.4,3,1,16.2
F,5.64517395982783,0,73.3,39.1,16,0,8.6
F,11.2551739598278,0,55.3,37.9,25,0,10.1
F,6.58517395982783,2,62.4,33.8,18,1,16.3
M,5.28,0,55.9,38.3,4,0,7.2
M,6.26,2,54.8,38.5,5,0,15.6
F,6.53517395982783,2,76.0,38.3,20,0,17.2
M,9.03,2,62.0,35.0,7,1,17.5
F,5.72517395982783,0,72.9,50.1,22,0,8.6
M,10.75,0,54.2,30.1,3,0,9.8
F,3.56517395982783,1,68.7,35.0,14,0,11.2
M,7.24,2,47.3,40.7,6,0,15.5
F,3.27517395982783,0,61.8,21.0,26,0,6.6
M,10.04,0,61.5,30.9,9,0,9.9
M,4.67,0,74.5,27.9,4,0,8.2
M,5.35,0,69.7,31.2,5,0,8.2
F,8.08517395982783,1,65.4,29.7,14,1,13.2
F,8.91517395982783,1,77.6,32.6,25,1,14.5
F,2.99517395982783,1,69.8,43.7,8,0,11.0
F,4.90517395982783,0,74.0,43.9,21,0,8.2
F,2.28517395982783,0,76.7,33.6,42,0,7.1
F,6.11517395982783,0,66.7,37.9,14,0,8.3
M,5.25,0,64.0,31.8,15,0,7.7
F,4.90517395982783,0,71.4,35.9,14,0,8.1
M,3.79,2,62.5,34.3,2,1,14.9
F,4.81517395982783,1,72.1,29.0,30,0,12.1
F,3.90517395982783,0,80.8,37.0,30,0,8.2
F,7.09517395982783,1,77.7,38.7,31,0,13.6
M,9.29,2,62.9,32.3,10,0,17.7
F,0.945173959827833,1,52.1,30.1,41,0,8.7
F,5.48517395982783,1,66.8,37.9,44,0,12.0
M,4.45,1,65.9,32.8,4,0,11.4
F,7.00517395982783,1,80.7,43.3,19,0,13.8
M,3.12,0,62.9,39.4,10,0,6.6
M,5.13,2,64.9,39.8,3,1,15.7
F,3.17517395982783,2,76.3,26.2,18,0,15.5
M,7.24,1,61.7,38.2,8,0,12.5
F,6.02517395982783,2,65.5,37.7,12,0,16.2
F,5.37517395982783,1,88.0,41.2,8,0,13.5
F,6.70517395982783,1,85.3,42.7,11,0,13.9
M,4.88,0,75.0,33.1,3,0,8.3
M,1.62,0,70.7,31.0,4,0,6.4
F,7.26517395982783,0,55.8,29.8,36,0,8.1
M,6.22,2,74.1,33.6,10,1,16.9
M,5.11,2,68.1,34.1,3,1,15.9
F,8.23517395982783,2,70.1,34.2,31,1,17.6
M,8.55,2,61.2,40.0,7,1,17.2
M,2.77,2,67.3,33.3,4,0,14.7
F,3.82517395982783,1,65.2,36.7,32,0,11.1
M,9.37,1,71.2,27.8,6,0,14.3
F,9.32517395982783,0,84.5,42.9,9,0,11.2
F,3.92517395982783,1,71.8,48.3,22,0,11.6
F,2.82517395982783,0,47.6,37.9,24,0,5.4
M,3.91,2,55.8,30.0,7,0,14.5
F,4.52517395982783,2,48.5,44.2,11,0,14.3
M,1.54,0,57.9,45.6,7,0,5.4
M,5.58,1,74.1,29.4,6,0,12.6
F,2.57517395982783,2,72.2,35.5,42,0,15.0
M,2.47,0,60.3,27.4,4,0,6.1
M,7.79,1,70.6,33.2,5,0,13.4
M,3.79,1,58.4,45.6,8,0,10.6
M,5.32,1,50.4,35.6,12,0,10.8
M,7.07,2,50.6,36.8,4,1,15.7
M,7.53,1,57.1,25.5,8,0,12.4
F,4.93517395982783,0,84.4,34.4,19,0,9.0
M,5.61,1,51.4,26.0,4,0,11.0
F,3.71517395982783,1,82.3,43.0,51,0,12.2
M,9.87,0,83.3,35.0,5,0,11.4
M,7.12,0,65.2,32.3,4,0,8.7
M,2.74,1,66.8,37.3,9,0,10.7
F,5.78517395982783,0,60.1,46.3,46,0,7.7
M,7.28,0,67.1,28.4,5,0,8.9
M,6.7,1,75.3,41.3,7,0,13.2
M,10.07,2,67.5,43.1,3,1,18.4
F,9.20517395982783,1,79.3,47.8,32,0,14.8
M,4.15,1,81.6,25.7,4,0,12.4
F,5.55517395982783,1,71.5,32.2,6,0,12.4
F,2.57517395982783,1,71.3,30.5,17,0,10.9
M,6.12,1,66.7,36.5,4,0,12.3
M,5.88,0,71.5,33.3,13,0,8.6
F,12.5351739598278,2,54.0,46.6,30,1,18.7
F,6.01517395982783,0,72.2,23.8,21,0,8.7
F,0.545173959827833,0,69.8,35.2,20,0,5.8
F,4.09517395982783,1,57.1,32.8,17,0,10.7
F,6.05517395982783,1,93.2,45.0,7,0,14.2
M,2.36,1,55.7,43.7,2,0,9.7
M,3.33,0,57.0,36.4,6,0,6.3
M,4.59,2,70.7,40.7,12,0,15.9
M,6.35,1,44.2,34.5,13,0,10.9
F,5.36517395982783,2,57.9,37.3,21,0,15.3
F,3.55517395982783,1,49.1,39.7,5,0,9.8
F,7.74517395982783,0,55.8,37.6,39,0,8.4
F,4.42517395982783,0,65.8,35.0,24,0,7.4
M,4.25,1,71.2,36.9,7,0,11.7
F,2.32517395982783,1,80.6,40.0,14,0,11.4
F,3.80517395982783,1,77.0,30.9,26,0,11.9
M,7.13,0,81.5,47.8,14,0,9.9
F,1.73517395982783,0,74.4,30.3,31,0,6.7
F,5.59517395982783,1,61.7,33.9,14,0,11.7
M,7.29,0,80.7,47.5,3,0,9.9
M,4.56,2,61.5,24.8,5,1,15.2
F,6.37517395982783,0,60.0,35.3,14,0,8.0
M,2.71,2,85.7,37.3,12,0,16.0
F,9.05517395982783,2,76.8,32.1,25,1,18.5
F,8.52517395982783,1,70.0,37.2,9,0,13.8
M,6.09,1,76.4,36.4,4,1,13.0
F,1.38517395982783,1,77.9,49.8,29,0,10.8
F,3.16517395982783,1,51.0,34.9,62,0,9.8
M,7.94,2,66.2,28.6,7,1,17.2
M,9.78,2,53.2,30.4,7,1,17.2
F,6.51517395982783,0,68.8,41.9,38,0,8.7
M,8.62,2,59.3,36.1,7,0,17.1
F,4.25517395982783,0,83.6,34.7,19,0,8.6
M,5.03,0,73.6,40.7,6,0,8.3
F,5.77517395982783,1,57.6,43.5,25,0,11.5
F,6.83517395982783,0,67.1,29.6,17,0,8.7
F,1.95517395982783,1,52.8,41.9,31,0,9.3
M,7.85,1,67.8,38.1,8,0,13.3
F,9.08517395982783,1,73.9,38.6,31,0,14.3
M,2.63,2,70.5,32.5,8,0,14.9
M,2.11,2,44.2,28.6,5,0,12.8
M,6.38,0,63.3,22.4,1,0,8.2
F,4.13517395982783,0,73.4,39.0,15,0,7.8
M,0.0,1,71.0,44.2,1,0,9.6
M,7.52,0,81.2,31.7,8,0,10.1
M,5.89,1,51.9,29.8,5,0,11.2
F,4.58517395982783,1,73.6,28.9,13,0,12.1
F,11.0551739598278,0,59.5,33.7,28,0,10.3
F,6.12517395982783,1,69.7,44.7,23,0,12.6
F,3.89517395982783,1,72.2,27.3,23,0,11.6
M,5.75,1,75.6,37.0,10,0,12.8
F,3.17517395982783,0,60.4,34.1,13,0,6.4
F,3.87517395982783,1,69.5,39.2,12,0,11.4
F,6.74517395982783,0,53.3,48.3,23,0,7.7
F,4.38517395982783,2,50.4,43.8,33,0,14.3
F,4.64517395982783,1,74.0,44.7,18,0,12.1
M,9.67,0,66.7,34.5,5,0,10.1
F,7.92517395982783,2,47.9,33.7,19,0,15.9
F,7.78517395982783,1,57.1,37.6,21,0,12.5
M,6.82,0,67.5,34.9,6,0,8.7
F,6.98517395982783,1,86.0,32.0,24,0,14.1
F,9.41517395982783,1,79.8,34.6,19,0,14.9
M,5.45,2,76.9,38.9,5,1,16.7
M,10.14,0,45.9,32.1,3,0,8.9
M,3.12,1,66.1,28.7,4,0,10.8
F,5.13517395982783,2,73.0,37.2,11,0,16.3
F,2.32517395982783,1,72.0,31.9,43,0,10.8
F,4.91517395982783,2,72.3,44.4,27,0,16.1
F,7.07517395982783,0,64.5,36.7,23,0,8.7
F,9.40517395982784,1,88.4,34.3,22,1,15.5
F,4.11517395982783,0,85.0,31.2,29,0,8.6
M,5.51,2,66.2,34.1,2,0,16.0
F,4.87517395982783,1,55.5,44.0,16,0,10.9
F,3.92517395982783,0,91.9,40.4,34,0,9.0
M,2.53,0,60.7,35.4,3,0,6.1
F,5.92517395982783,1,81.7,34.7,21,0,13.3
F,1.44517395982783,0,90.2,29.2,28,0,7.6
F,6.05517395982783,1,56.0,41.2,24,0,11.6
M,5.55,1,70.8,28.5,5,0,12.3
M,3.86,0,63.1,28.4,12,0,7.0
M,2.97,0,73.5,28.7,4,0,7.2
M,2.04,1,71.1,39.9,8,0,10.6
F,10.4551739598278,0,90.6,35.5,35,0,12.2
F,2.42517395982783,2,74.4,42.1,37,0,15.0
M,9.39,0,67.2,43.3,10,0,10.0
M,7.0,1,80.8,42.6,4,0,13.8
M,4.59,0,64.0,29.5,7,0,7.4
M,2.61,1,62.9,30.8,6,0,10.3
M,8.11,1,94.2,27.3,6,1,15.3
F,10.0951739598278,0,57.4,36.5,20,0,9.7
M,3.16,1,61.4,46.0,5,0,10.5
F,5.02517395982783,2,67.8,44.9,11,0,15.9
F,8.40517395982784,1,54.6,36.1,17,0,12.6
M,6.34,1,42.0,32.1,17,0,10.7
M,10.5,0,80.0,34.8,2,0,11.5
M,4.07,0,57.9,32.1,7,0,6.7
M,6.86,1,60.8,36.0,3,0,12.3
F,2.64517395982783,2,62.8,45.9,13,0,14.3
F,11.0151739598278,0,55.5,41.2,14,0,10.0
M,3.67,0,54.4,28.7,8,0,6.3
M,0.0,1,69.2,31.3,13,0,9.5
F,5.46517395982783,1,96.1,28.4,12,0,14.1
M,5.15,1,76.1,29.5,8,0,12.5
F,10.5651739598278,2,76.3,34.7,21,1,19.2
F,4.92517395982783,1,49.2,45.8,46,0,10.5
M,5.47,2,67.0,21.0,2,1,16.0
F,7.25517395982783,1,53.1,38.1,11,0,12.0
F,9.74517395982783,1,76.6,33.3,55,0,14.8
F,5.61517395982783,2,64.6,37.0,19,1,15.9
M,8.1,0,67.8,36.5,7,0,9.4
M,6.8,1,66.2,39.4,17,0,12.6
M,4.76,0,60.3,40.8,13,0,7.2
M,5.69,1,49.0,44.4,6,0,10.9
F,5.84517395982783,0,74.2,43.4,29,0,8.7
F,3.48517395982783,1,50.7,38.7,24,0,9.9
M,8.53,0,53.1,40.7,13,0,8.6
M,2.04,1,63.7,34.6,6,0,10.1
F,8.70517395982783,1,58.8,35.3,34,0,13.1
F,8.16517395982783,2,70.4,26.3,10,1,17.6
M,5.27,2,79.4,38.3,8,0,16.8
M,3.59,1,70.3,31.8,5,0,11.3
F,5.20517395982783,1,69.7,46.6,40,0,12.1
M,6.68,0,67.6,39.8,9,0,8.7
M,7.36,0,77.6,33.3,7,0,9.7
F,6.49517395982783,1,45.1,30.9,22,0,11.0
M,7.98,2,71.7,21.0,7,1,17.6
M,4.11,1,56.1,34.8,3,0,10.6
F,6.36517395982783,1,52.5,42.8,35,0,11.5
F,1.85517395982783,1,67.3,27.2,19,0,10.2
F,7.68517395982783,1,62.6,33.2,32,0,12.8
M,5.88,1,74.3,35.4,11,0,12.8
M,4.46,1,80.5,27.9,3,0,12.5
M,8.4,2,39.4,37.8,3,0,15.6
M,7.23,1,66.4,42.1,9,0,12.9
F,0.275173959827833,2,90.8,31.3,19,0,15.1
M,5.6,1,77.7,28.1,8,0,12.8
F,2.13517395982783,1,84.6,41.6,45,0,11.6
M,8.17,2,68.5,39.5,5,1,17.5
F,11.9951739598278,2,50.1,33.0,15,1,18.1
M,4.2,2,53.8,40.2,6,0,14.5
M,5.69,1,75.8,29.3,6,1,12.8
M,4.87,1,78.8,32.3,4,0,12.6
F,6.65517395982783,1,58.5,39.9,18,0,12.0
F,7.38517395982783,2,64.1,46.9,10,1,16.8
M,8.72,1,70.4,28.4,3,0,13.9
F,3.30517395982783,0,46.3,37.2,6,0,5.5
F,9.70517395982783,0,63.1,31.2,16,0,9.9
F,3.44517395982783,1,86.7,34.6,14,0,12.4
M,6.19,1,93.5,31.5,7,0,14.2
F,8.67517395982783,2,66.0,30.5,23,0,17.6
M,7.28,1,89.3,34.7,5,0,14.5
F,3.42517395982783,1,61.0,41.5,39,0,10.6
M,3.75,1,57.6,42.0,6,0,10.5
F,4.61517395982783,0,40.4,40.7,23,0,5.7
M,5.37,0,78.8,31.2,3,0,8.8
M,8.37,1,62.8,25.7,5,0,13.2
M,2.27,1,95.4,21.0,4,0,12.4
M,6.67,2,71.3,31.0,6,0,16.9
M,7.02,0,69.6,27.1,10,0,9.0
F,7.17517395982783,2,45.6,38.3,21,1,15.4
M,6.67,0,85.3,36.1,7,0,9.9
F,9.57517395982783,1,62.9,30.1,19,0,13.8
M,6.72,1,65.4,36.4,2,0,12.5
F,7.91517395982783,0,40.8,23.3,21,0,7.4
M,6.91,2,78.4,25.5,5,0,17.6
M,9.98,2,79.2,37.2,14,1,19.1
F,1.02517395982783,2,60.0,34.4,34,0,13.3
M,8.71,0,68.4,33.7,8,0,9.8
M,4.85,1,72.0,33.5,7,0,12.1
F,5.07517395982783,1,78.9,34.5,39,0,12.7
F,3.35517395982783,2,68.6,30.6,49,0,15.1
F,1.10517395982783,0,88.0,31.1,30,0,7.3
F,4.82517395982783,0,64.4,34.2,7,0,7.5
M,3.78,2,60.0,31.9,3,1,14.7
F,7.01517395982783,0,61.7,41.2,25,0,8.4
M,1.82,0,36.9,40.8,6,0,4.1
M,9.08,0,57.6,38.6,4,0,9.2
M,6.18,1,79.4,36.1,5,0,13.3
M,4.88,1,70.5,41.9,4,0,12.0
M,3.73,1,57.5,35.2,2,0,10.5
F,3.80517395982783,2,71.5,23.9,18,0,15.5
M,2.67,0,43.1,35.8,7,0,5.0
F,4.41517395982783,2,63.9,33.5,16,0,15.3
M,5.52,2,73.6,38.2,3,1,16.5
M,5.06,2,75.7,33.4,7,0,16.4
M,1.96,1,58.0,27.8,8,0,9.6
M,4.84,1,78.3,45.6,6,0,12.5
F,3.54517395982783,0,89.8,41.9,26,0,8.7
M,5.9,2,62.2,40.7,9,1,15.9
F,10.4351739598278,1,76.2,23.4,24,0,15.2
F,7.33517395982783,1,48.7,35.5,15,0,11.7
F,4.99517395982783,1,43.8,36.7,17,0,10.2
M,1.44,1,74.7,27.2,3,0,10.6
M,1.96,1,67.9,29.1,3,0,10.3
F,1.55517395982783,1,69.8,37.1,17,0,10.3
F,7.58517395982783,1,60.4,47.4,8,0,12.6
F,3.86517395982783,1,63.8,36.3,27,0,11.0
F,5.93517395982783,1,77.1,32.4,19,0,13.0
F,4.21517395982783,0,88.0,33.8,12,0,8.9
M,5.73,2,64.8,28.6,3,1,16.0
F,9.27517395982783,2,47.6,36.7,34,0,16.6
F,4.06517395982783,1,82.7,31.0,46,0,12.4
F,4.92517395982783,0,74.6,27.2,22,0,8.3
M,3.48,0,75.6,25.9,4,0,7.6
F,7.96517395982783,2,69.6,31.7,38,1,17.5
F,3.21517395982783,2,95.3,34.8,32,1,16.9
M,2.67,0,68.3,37.2,4,0,6.7
M,2.03,1,73.6,44.0,4,0,10.8
F,2.25517395982783,0,45.1,46.4,11,0,4.9
M,6.68,1,60.4,37.3,4,0,12.2
F,12.1951739598278,1,59.1,32.7,13,0,14.8
M,3.01,1,67.0,44.4,5,0,10.8
F,8.15517395982783,2,71.6,32.9,16,1,17.7
M,6.13,2,58.4,32.5,4,1,15.8
M,2.74,0,88.2,36.6,9,0,8.2
M,4.81,1,54.6,29.4,13,0,10.8
F,5.19517395982783,1,62.0,28.2,11,0,11.5
F,4.04517395982783,0,70.2,44.5,25,0,7.5
M,10.33,0,52.4,35.1,6,0,9.4
F,1.00517395982783,1,74.2,38.7,31,0,10.3
F,6.72517395982783,2,75.0,41.3,22,0,17.2
M,6.33,1,63.9,41.4,1,0,12.2
F,4.32517395982783,0,90.3,39.3,32,0,9.1
F,6.14517395982783,0,68.4,32.2,23,0,8.5
F,7.96517395982783,2,70.8,37.7,26,1,17.5
F,6.15517395982783,1,55.9,30.6,6,0,11.6
M,6.54,1,47.3,39.3,6,0,11.2
M,7.23,1,59.8,41.1,8,0,12.4
F,0.695173959827833,2,63.5,39.3,15,0,13.4
F,9.47517395982783,1,61.9,43.7,33,0,13.7
M,11.2,1,76.6,32.6,5,1,15.6
M,7.95,0,38.7,40.5,5,0,7.3
M,8.03,1,53.8,43.7,8,0,12.4
F,2.25517395982783,0,45.5,52.0,14,0,4.9
M,5.2,0,83.5,38.4,3,0,9.1
M,3.47,1,60.6,26.7,6,0,10.6
F,4.30517395982783,2,61.2,31.2,18,1,15.0
M,7.92,0,54.2,36.7,5,0,8.4
F,3.76517395982783,0,78.2,43.9,23,0,8.0
M,5.17,0,62.4,36.5,7,0,7.6
F,1.00517395982783,1,70.1,41.8,17,0,10.0
M,5.1,1,43.0,31.0,5,0,10.2
M,5.73,0,81.5,28.8,3,0,9.2
M,3.74,1,72.1,30.1,4,0,11.5
F,3.97517395982783,1,74.0,29.5,27,0,11.8
M,10.22,0,82.2,41.9,3,0,11.5
M,2.48,1,65.1,35.8,5,0,10.4
F,3.14517395982783,0,65.4,38.0,22,0,6.8
F,3.75517395982783,0,76.0,44.7,26,0,7.8
M,8.5,2,72.5,45.0,4,1,17.9
F,11.0251739598278,0,64.5,32.7,22,0,10.6
M,6.33,0,67.9,24.2,3,0,8.5
M,3.71,1,61.3,37.5,1,0,10.8
M,4.43,1,76.0,44.6,3,0,12.1
M,8.16,0,78.6,46.0,4,0,10.2
M,3.22,2,67.5,31.8,6,0,14.9
M,9.13,0,90.0,44.5,6,0,11.5
F,9.31517395982783,1,48.9,39.1,18,0,12.7
M,5.68,2,64.6,41.6,4,1,16.0
F,7.39517395982783,2,88.0,35.5,82,1,18.5
M,7.37,2,62.3,42.1,4,1,16.7
F,9.66517395982783,1,48.2,38.6,26,0,12.8
