	F	order
F_01554	P	5
F_01555	P	5
F_01556	P	5
F_01557	P	2
F_01558	P	2
F_01559	P	1
F_01560	P	1
F_01561	P	1
F_01562	P	3
F_01563	P	2
F_01564	P	4
F_01565	P	4
F_01566	P	4
F_01567	P	4
F_01568	P	4
F_01569	P	3
F_01570	P	2
F_01571	P	1
F_01572	P	4
F_01573	P	5
F_01574	P	3
F_01575	P	4
F_01576	P	2
F_01577	P	4
F_01578	P	2
F_01579	P	2
F_01580	P	4
F_01581	P	1
F_01582	P	3
F_01583	P	4
F_01584	P	3
F_01585	P	4
F_01586	P	2
F_01587	P	2
F_01588	P	1
F_01589	P	5
F_01590	P	1
F_01591	P	2
F_01592	P	3
F_01593	P	3
F_01594	P	5
F_01595	P	1
F_01596	P	1
F_01597	P	4
F_01598	P	2
F_01599	P	4
F_01600	P	3
F_01601	P	3
F_01602	P	4
F_01603	P	4
F_01604	P	2
F_01605	P	4
F_01606	P	4
F_01607	P	4
F_01608	P	4
F_01609	P	1
F_01610	P	2
F_01611	P	1
F_01612	P	2
F_01613	P	1
F_01614	P	3
F_01615	P	2
F_01616	P	2
F_01617	P	5
F_01618	P	4
F_01619	P	1
F_01620	P	1
F_01621	P	3
F_01622	P	1
F_01623	P	3
F_01624	P	4
F_01625	P	1
F_01626	P	4
F_01627	P	2
F_01628	P	1
F_01629	P	2
F_01630	P	5
F_01631	P	2
F_01632	P	3
F_01633	P	4
F_01634	P	3
F_01635	P	5
F_01636	P	4
F_01637	P	2
F_01638	P	4
F_01639	P	4
F_01640	P	4
F_01641	P	2
F_01642	P	3
F_01643	P	5
F_01644	P	4
F_01645	P	1
F_01646	P	3
F_01647	P	3
F_01648	P	1
F_01649	P	1
F_01650	P	3
F_01651	P	3
F_01652	P	2
F_01653	P	4
F_01654	P	2
F_01655	P	1
F_01656	P	2
F_01657	P	3
F_01658	P	4
F_01659	P	4
F_01660	P	5
F_01661	P	3
F_01662	P	4
F_01663	P	4
F_01664	P	4
F_01665	P	4
F_01666	P	1
F_01667	P	3
F_01668	P	3
F_01669	P	5
F_01670	P	5
F_01671	P	3
F_01672	P	2
F_01673	P	2
F_01674	P	5
F_01675	P	4
F_01676	P	1
F_01677	P	4
F_01678	P	1
F_01679	P	2
F_01680	P	2
F_01681	P	3
F_01682	P	4
F_01683	P	4
F_01684	P	3
F_01685	P	4
F_01686	P	4
F_01687	P	4
F_01688	P	3
F_01689	P	4
F_01690	P	5
F_01691	P	1
F_01692	P	3
F_01693	P	1
F_01694	P	2
F_01695	P	1
F_01696	P	4
F_01697	P	4
F_01698	P	2
F_01699	P	2
F_01700	P	4
F_01701	P	4
F_01702	P	3
F_01703	P	2
F_01704	P	1
F_01705	P	5
F_01706	P	5
F_01707	P	1
F_01708	P	3
F_01709	P	2
F_01710	P	1
F_01711	P	1
F_01712	P	3
F_01713	P	2
F_01714	P	5
F_01715	P	3
F_01716	P	4
F_01717	P	3
F_01718	P	2
F_01719	P	2
F_01720	P	3
F_01721	P	4
F_01722	P	1
F_01723	P	4
F_01724	P	1
F_01725	P	4
F_01726	P	4
F_01727	P	4
F_01728	P	2
F_01729	P	2
F_01730	P	3
F_01731	P	2
F_01732	P	4
F_01733	P	2
F_01734	P	5
F_01735	P	1
F_01736	P	2
F_01737	P	2
F_01738	P	1
F_01739	P	1
F_01740	P	2
F_01741	P	2
F_01742	P	5
F_01743	P	2
F_01744	P	3
F_01745	P	2
F_01746	P	3
F_01747	P	1
F_01748	P	4
F_01749	P	1
F_01750	P	3
F_01751	P	4
F_01752	P	3
F_01753	P	3
F_01754	P	4
F_01755	P	5
F_01756	P	2
F_01757	P	3
F_01758	P	1
F_01759	P	1
F_01760	P	4
F_01761	P	4
F_01762	P	4
F_01763	P	4
F_01764	P	5
F_01765	P	1
F_01766	P	2
F_01767	P	5
F_01768	P	3
F_01769	P	1
F_01770	P	5
F_01771	P	4
F_01772	P	4
F_01773	P	1
F_01774	P	4
F_01775	P	1
F_01776	P	5
F_01777	P	2
F_01778	P	5
F_01779	P	3
F_01780	P	3
F_01781	P	3
F_01782	P	3
F_01783	P	1
F_01784	P	3
F_01785	P	1
F_01786	P	3
F_01787	P	3
F_01788	P	2
F_01789	P	4
F_01790	P	1
F_01791	P	3
F_01792	P	4
F_01793	P	3
F_01794	P	3
F_01795	P	4
F_01796	P	3
F_01797	P	5
F_01798	P	2
F_01799	P	2
F_01800	P	1
F_01801	P	2
F_01802	P	1
F_01803	P	1
F_01804	P	5
F_01805	P	3
F_01806	P	4
F_01807	P	5
F_01808	P	4
F_01809	P	2
F_01810	P	1
F_01811	P	4
F_01812	P	1
F_01813	P	5
F_01814	P	1
F_01815	P	3
F_01816	P	4
F_01817	P	3
F_01818	P	1
F_01819	P	3
F_01820	P	5
F_01821	P	4
F_01822	P	5
F_01823	P	1
F_01824	P	2
F_01825	P	1
F_01826	P	3
F_01827	P	3
F_01828	P	3
F_01829	P	2
F_01830	P	2
F_01831	P	1
F_01832	P	5
F_01833	P	3
F_01834	P	1
F_01835	P	5
F_01836	P	4
F_01837	P	3
F_01838	P	1
F_01839	P	4
F_01840	P	5
F_01841	P	3
F_01842	P	1
F_01843	P	1
F_01844	P	3
F_01845	P	4
F_01846	P	2
F_01847	P	3
F_01848	P	1
F_01849	P	4
F_01850	P	1
F_01851	P	4
F_01852	P	1
F_01853	P	3
F_01854	P	5
F_01855	P	5
F_01856	P	1
F_01857	P	1
F_01858	P	4
F_01859	P	2
F_01860	P	5
F_01861	P	1
F_01862	P	1
F_01863	P	3
F_01864	P	5
F_01865	P	4
F_01866	P	4
F_01867	P	3
F_01868	P	5
F_01869	P	5
F_01870	P	3
F_01871	P	3
F_01872	P	4
F_01873	P	2
F_01874	P	5
F_01875	P	2
F_01876	P	5
F_01877	P	3
F_01878	P	3
F_01879	P	4
F_01880	P	2
F_01881	P	5
F_01882	P	1
F_01883	P	1
F_01884	P	1
F_01885	P	3
F_01886	P	2
F_01887	P	3
F_01888	P	1
F_01889	P	5
F_01890	P	2
F_01891	P	2
F_01892	P	1
F_01893	P	2
F_01894	P	1
F_01895	P	3
F_01896	P	5
F_01897	P	3
F_01898	P	2
F_01899	P	4
F_01900	P	1
F_01901	P	1
F_01902	P	1
F_01903	P	5
F_01904	P	3
F_01905	P	4
F_01906	P	2
F_01907	P	5
F_01908	P	2
F_01909	P	3
F_01910	P	3
F_01911	P	2
F_01912	P	2
F_01913	P	2
F_01914	P	5
F_01915	P	5
F_01916	P	1
F_01917	P	5
F_01918	P	4
F_01919	P	2
F_01920	P	4
F_01921	P	1
F_01922	P	5
F_01923	P	5
F_01924	P	3
F_01925	P	1
F_01926	P	2
F_01927	P	3
F_01928	P	5
F_01929	P	2
F_01930	P	2
F_01931	P	3
F_01932	P	2
F_01933	P	3
F_01934	P	1
F_01935	P	2
F_01936	P	1
F_01937	P	5
F_01938	P	5
F_01939	P	5
F_01940	P	1
F_01941	P	2
F_01942	P	1
F_01943	P	4
F_01944	P	5
F_01945	P	3
F_01946	P	1
F_01947	P	5
F_01948	P	5
F_01949	P	4
F_01950	P	3
F_01951	P	4
F_01952	P	3
F_01953	P	4
F_01954	P	5
F_01955	P	2
F_01956	P	3
F_01957	P	3
F_01958	P	2
F_01959	P	4
F_01960	P	5
F_01961	P	4
F_01962	P	4
F_01963	P	2
F_01964	P	1
F_01965	P	5
F_01966	P	3
F_01967	P	1
F_01968	P	3
F_01969	P	4
F_01970	P	1
F_01971	P	2
F_01972	P	1
F_01973	P	2
F_01974	P	3
F_01975	P	1
F_01976	P	2
F_01977	P	2
F_01978	P	3
F_01979	P	4
F_01980	P	5
F_01981	P	3
F_01982	P	1
F_01983	P	3
F_01984	P	3
F_01985	P	1
F_01986	P	2
F_01987	P	3
F_01988	P	5
F_01989	P	4
F_01990	P	2
F_01991	P	2
F_01992	P	2
F_01993	P	1
F_01994	P	4
F_01995	P	3
F_01996	P	3
F_01997	P	4
F_01998	P	2
F_01999	P	2
F_02000	PSin	4
F_02001	PSin	0
F_02002	PSin	2
F_02003	PSin	3
F_02004	PSin	3
F_02005	PSin	2
F_02006	PSin	2
F_02007	PSin	5
F_02008	PSin	2
F_02009	PSin	4
F_02010	PSin	3
F_02011	PSin	5
F_02012	PSin	3
F_02013	PSin	1
F_02014	PSin	0
F_02015	PSin	2
F_02016	PSin	2
F_02017	PSin	0
F_02018	PSin	0
F_02019	PSin	2
F_02020	PSin	0
F_02021	PSin	2
F_02022	PSin	2
F_02023	PSin	3
F_02024	PSin	0
F_02025	PSin	0
F_02026	PSin	0
F_02027	PSin	3
F_02028	PSin	5
F_02029	PSin	3
F_02030	PSin	1
F_02031	PSin	3
F_02032	PSin	2
F_02033	PSin	3
F_02034	PSin	0
F_02035	PSin	0
F_02036	PSin	0
F_02037	PSin	0
F_02038	PSin	5
F_02039	PSin	3
F_02040	PSin	0
F_02041	PSin	2
F_02042	PSin	0
F_02043	PSin	4
F_02044	PSin	3
F_02045	PSin	5
F_02046	PSin	3
F_02047	PSin	1
F_02048	PSin	0
F_02049	PSin	2
F_02050	PSin	4
F_02051	PSin	3
F_02052	PSin	1
F_02053	PSin	1
F_02054	PSin	1
F_02055	PSin	1
F_02056	PSin	4
F_02057	PSin	3
F_02058	PSin	2
F_02059	PSin	2
F_02060	PSin	4
F_02061	PSin	5
F_02062	PSin	4
F_02063	PSin	0
F_02064	PSin	3
F_02065	PSin	4
F_02066	PSin	1
F_02067	PSin	3
F_02068	PSin	5
F_02069	PSin	2
F_02070	PSin	2
F_02071	PSin	4
F_02072	PSin	0
F_02073	PSin	0
F_02074	PSin	4
F_02075	PSin	2
F_02076	PSin	0
F_02077	PSin	1
F_02078	PSin	2
F_02079	PSin	3
F_02080	PSin	3
F_02081	PSin	2
F_02082	PSin	5
F_02083	PSin	3
F_02084	PSin	5
F_02085	PSin	2
F_02086	PSin	1
F_02087	PSin	0
F_02088	PSin	5
F_02089	PSin	3
F_02090	PSin	3
F_02091	PSin	1
F_02092	PSin	3
F_02093	PSin	1
F_02094	PSin	5
F_02095	PSin	0
F_02096	PSin	0
F_02097	PSin	4
F_02098	PSin	2
F_02099	PSin	3
F_02100	PSin	4
F_02101	PSin	5
F_02102	PSin	3
F_02103	PSin	5
F_02104	PSin	0
F_02105	PSin	3
F_02106	PSin	5
F_02107	PSin	3
F_02108	PSin	2
F_02109	PSin	3
F_02110	PSin	5
F_02111	PSin	3
F_02112	PSin	3
F_02113	PSin	1
F_02114	PSin	4
F_02115	PSin	3
F_02116	PSin	3
F_02117	PSin	5
F_02118	PSin	4
F_02119	PSin	5
F_02120	PSin	1
F_02121	PSin	2
F_02122	PSin	2
F_02123	PSin	1
F_02124	PSin	1
F_02125	PSin	0
F_02126	PSin	1
F_02127	PSin	1
F_02128	PSin	5
F_02129	PSin	4
F_02130	PSin	2
F_02131	PSin	2
F_02132	PSin	5
F_02133	PSin	5
F_02134	PSin	1
F_02135	PSin	3
F_02136	PSin	2
F_02137	PSin	0
F_02138	PSin	0
F_02139	PSin	1
F_02140	PSin	0
F_02141	PSin	2
F_02142	PSin	2
F_02143	PSin	4
F_02144	PSin	5
F_02145	PSin	3
F_02146	PSin	1
F_02147	PSin	2
F_02148	PSin	2
F_02149	PSin	5
F_02150	PSin	2
F_02151	PSin	2
F_02152	PSin	3
F_02153	PSin	2
F_02154	PSin	2
F_02155	PSin	4
F_02156	PSin	0
F_02157	PSin	4
F_02158	PSin	3
F_02159	PSin	5
F_02160	PSin	4
F_02161	PSin	5
F_02162	PSin	0
F_02163	PSin	5
F_02164	PSin	5
F_02165	PSin	3
F_02166	PSin	3
F_02167	PSin	3
F_02168	PSin	4
F_02169	PSin	3
F_02170	PSin	0
F_02171	PSin	3
F_02172	PSin	0
F_02173	PSin	0
F_02174	PSin	4
F_02175	PSin	1
F_02176	PSin	4
F_02177	PSin	1
F_02178	PSin	3
F_02179	PSin	3
F_02180	PSin	1
F_02181	PSin	1
F_02182	PSin	4
F_02183	PSin	2
F_02184	PSin	2
F_02185	PSin	0
F_02186	PSin	0
F_02187	PSin	3
F_02188	PSin	4
F_02189	PSin	2
F_02190	PSin	0
F_02191	PSin	2
F_02192	PSin	3
F_02193	PSin	3
F_02194	PSin	0
F_02195	PSin	2
F_02196	PSin	5
F_02197	PSin	0
F_02198	PSin	2
F_02199	PSin	0
F_02200	PSin	1
F_02201	PSin	5
F_02202	PSin	5
F_02203	PSin	1
F_02204	PSin	1
F_02205	PSin	4
F_02206	PSin	5
F_02207	PSin	5
F_02208	PSin	4
F_02209	PSin	4
F_02210	PSin	3
F_02211	PSin	0
F_02212	PSin	4
F_02213	PSin	3
F_02214	PSin	2
F_02215	PSin	0
F_02216	PSin	3
F_02217	PSin	1
F_02218	PSin	1
F_02219	PSin	1
F_02220	PSin	1
F_02221	PSin	1
F_02222	PSin	0
F_02223	PSin	3
F_02224	PSin	3
F_02225	PSin	0
F_02226	PSin	5
F_02227	PSin	3
F_02228	PSin	0
F_02229	PSin	4
F_02230	PSin	2
F_02231	PSin	0
F_02232	PSin	1
F_02233	PSin	2
F_02234	PSin	1
F_02235	PSin	2
F_02236	PSin	3
F_02237	PSin	2
F_02238	PSin	0
F_02239	PSin	4
F_02240	PSin	1
F_02241	PSin	0
F_02242	PSin	5
F_02243	PSin	3
F_02244	PSin	3
F_02245	PSin	0
F_02246	PSin	0
F_02247	PSin	0
F_02248	PSin	2
F_02249	PSin	5
F_02250	PSin	3
F_02251	PSin	0
F_02252	PSin	1
F_02253	PSin	5
F_02254	PSin	0
F_02255	PSin	2
F_02256	PSin	1
F_02257	PSin	3
F_02258	PSin	3
F_02259	PSin	5
F_02260	PSin	1
F_02261	PSin	3
F_02262	PSin	0
F_02263	PSin	3
F_02264	PSin	3
F_02265	PSin	4
F_02266	PSin	1
F_02267	PSin	1
F_02268	PSin	2
F_02269	PSin	1
F_02270	PSin	4
F_02271	PSin	3
F_02272	PSin	5
F_02273	PSin	5
F_02274	PSin	5
F_02275	PSin	2
F_02276	PSin	5
F_02277	PSin	1
F_02278	PSin	3
F_02279	PSin	2
F_02280	PSin	1
F_02281	PSin	3
F_02282	PSin	1
F_02283	PSin	1
F_02284	PSin	2
F_02285	PSin	0
F_02286	PSin	5
F_02287	PSin	0
F_02288	PSin	4
F_02289	PSin	2
F_02290	PSin	2
F_02291	PSin	1
F_02292	PSin	4
F_02293	PSin	0
F_02294	PSin	0
F_02295	PSin	4
F_02296	PSin	1
F_02297	PSin	5
F_02298	PSin	1
F_02299	PSin	3
F_02300	PSin	4
F_02301	PSin	1
F_02302	PSin	5
F_02303	PSin	3
F_02304	PSin	1
F_02305	PSin	5
F_02306	PSin	2
F_02307	PSin	2
F_02308	PSin	2
F_02309	PSin	0
F_02310	PSin	1
F_02311	PSin	0
F_02312	PSin	2
F_02313	PSin	1
F_02314	PSin	1
F_02315	PSin	2
F_02316	PSin	5
F_02317	PSin	5
F_02318	PSin	0
F_02319	PSin	4
F_02320	PSin	1
F_02321	PSin	0
F_02322	PSin	0
F_02323	PSin	2
F_02324	PSin	1
F_02325	PSin	5
F_02326	PSin	1
F_02327	PSin	4
F_02328	PSin	3
F_02329	PSin	3
F_02330	PSin	3
F_02331	PSin	5
F_02332	PSin	0
F_02333	PSin	2
F_02334	PSin	2
F_02335	PSin	5
F_02336	PSin	4
F_02337	PSin	5
F_02338	PSin	5
F_02339	PSin	1
F_02340	PSin	2
F_02341	PSin	4
F_02342	PSin	0
F_02343	PSin	0
F_02344	PSin	0
F_02345	PSin	2
F_02346	PSin	2
F_02347	PSin	3
F_02348	PSin	0
F_02349	PSin	1
F_02350	PSin	0
F_02351	PSin	2
F_02352	PSin	1
F_02353	PSin	4
F_02354	PSin	5
F_02355	PSin	5
F_02356	PSin	4
F_02357	PSin	2
F_02358	PSin	4
F_02359	PSin	0
F_02360	PSin	5
F_02361	PSin	4
F_02362	PSin	0
F_02363	PSin	3
F_02364	PSin	1
F_02365	PSin	4
F_02366	PSin	2
F_02367	PSin	3
F_02368	PSin	5
F_02369	PSin	5
F_02370	PSin	2
F_02371	PSin	3
F_02372	PSin	4
F_02373	PSin	5
F_02374	PSin	4
F_02375	PSin	3
F_02376	PSin	1
F_02377	PSin	0
F_02378	PSin	4
F_02379	PSin	4
F_02380	PSin	0
F_02381	PSin	1
F_02382	PSin	5
F_02383	PSin	4
F_02384	PSin	1
F_02385	PSin	3
F_02386	PSin	5
F_02387	PSin	0
F_02388	PSin	5
F_02389	PSin	3
F_02390	PSin	3
F_02391	PSin	2
F_02392	PSin	4
F_02393	PSin	3
F_02394	PSin	4
F_02395	PSin	0
F_02396	PSin	4
F_02397	PSin	5
F_02398	PSin	0
F_02399	PSin	1
F_02400	PSin	2
F_02401	PSin	2
F_02402	PSin	4
F_02403	PSin	1
F_02404	PSin	0
F_02405	PSin	3
F_02406	PSin	3
F_02407	PSin	0
F_02408	PSin	0
F_02409	PSin	0
F_02410	PSin	0
F_02411	PSin	3
F_02412	PSin	4
F_02413	PSin	3
F_02414	PSin	4
F_02415	PSin	5
F_02416	PSin	1
F_02417	PSin	4
F_02418	PSin	2
F_02419	PSin	1
F_02420	PSin	1
F_02421	PSin	1
F_02422	PSin	1
F_02423	PSin	1
F_02424	PSin	2
F_02425	PSin	0
F_02426	PSin	5
F_02427	PSin	3
F_02428	PSin	2
F_02429	PSin	1
F_02430	PSin	1
F_02431	PSin	3
F_02432	PSin	3
F_02433	PSin	2
F_02434	PSin	5
F_02435	PSin	4
F_02436	PSin	1
F_02437	PSin	0
F_02438	PSin	5
F_02439	PSin	2
F_02440	PSin	1
F_02441	PSin	5
F_02442	PSin	3
F_02443	PSin	5
F_02444	PSin	3
F_02445	PSin	3
F_02446	PSin	4
F_02447	PSin	1
F_02448	PSin	5
F_02449	PSin	5
F_02450	PSin	5
F_02451	PSin	1
F_02452	PSin	2
F_02453	PSin	1
F_02454	PSin	4
F_02455	PSin	5
F_02456	PSin	2
F_02457	PSin	0
F_02458	PSin	4
F_02459	PSin	4
F_02460	PSin	3
F_02461	PSin	2
F_02462	PSin	3
F_02463	PSin	2
F_02464	PSin	5
F_02465	PSin	5
F_02466	PSin	4
F_02467	PSin	0
F_02468	PSin	4
F_02469	PSin	5
F_02470	PSin	2
F_02471	PSin	2
F_02472	PSin	2
F_02473	PSin	3
F_02474	PSin	3
F_02475	PSin	0
F_02476	PSin	0
F_02477	PSin	3
F_02478	PSin	3
F_02479	PSin	4
F_02480	PSin	5
F_02481	PSin	2
F_02482	PSin	5
F_02483	PSin	5
F_02484	PSin	5
F_02485	PSin	3
F_02486	PSin	2
F_02487	PSin	5
F_02488	PSin	5
F_02489	PSin	1
F_02490	PSin	4
F_02491	PSin	5
F_02492	PSin	2
F_02493	PSin	1
F_02494	PSin	5
F_02495	PSin	1
F_02496	PSin	5
F_02497	PSin	3
F_02498	PSin	4
F_02499	PSin	2
F_02500	PSin	4
F_02501	PSin	3
F_02502	PSin	2
F_02503	PSin	2
F_02504	PSin	2
F_02505	PSin	1
F_02506	PSin	4
F_02507	PSin	5
F_02508	PSin	0
F_02509	PSin	2
F_02510	PSin	1
F_02511	PSin	1
F_02512	PSin	4
F_02513	PSin	5
F_02514	PSin	4
F_02515	PSin	3
F_02516	PSin	0
F_02517	PSin	4
F_02518	PSin	0
F_02519	PSin	1
F_02520	PSin	0
F_02521	PSin	1
F_02522	PSin	3
F_02523	PSin	1
F_02524	PSin	4
F_02525	PSin	0
F_02526	PSin	3
F_02527	PSin	5
F_02528	PSin	5
F_02529	PSin	4
F_02530	PSin	3
F_02531	PSin	1
F_02532	PSin	0
F_02533	PSin	4
F_02534	PSin	0
F_02535	PSin	3
F_02536	PSin	3
F_02537	PSin	3
F_02538	PSin	0
F_02539	PSin	4
F_02540	PSin	0
F_02541	PSin	4
F_02542	PSin	3
F_02543	PSin	1
F_02544	PSin	1
F_02545	PSin	4
F_02546	PSin	4
F_02547	PSin	4
F_02548	PSin	0
F_02549	PSin	1
F_02550	PSin	5
F_02551	PSin	4
F_02552	PSin	2
F_02553	PSin	5
F_02554	PSin	2
F_02555	PSin	5
F_02556	PSin	2
F_02557	PSin	3
F_02558	PSin	0
F_02559	PSin	4
F_02560	PSin	3
F_02561	PSin	3
F_02562	PSin	5
F_02563	PSin	4
F_02564	PSin	1
F_02565	PSin	3
F_02566	PSin	5
F_02567	PSin	4
F_02568	PSin	5
F_02569	PSin	5
F_02570	PSin	4
F_02571	PSin	1
F_02572	PSin	4
F_02573	PSin	3
F_02574	PSin	3
F_02575	PSin	0
F_02576	PSin	2
F_02577	PSin	0
F_02578	PSin	3
F_02579	PSin	2
F_02580	PSin	0
F_02581	PSin	2
F_02582	PSin	3
F_02583	PSin	1
F_02584	PSin	0
F_02585	PSin	5
F_02586	PSin	1
F_02587	PSin	1
F_02588	PSin	1
F_02589	PSin	1
F_02590	PSin	4
F_02591	PSin	2
F_02592	PSin	4
F_02593	PSin	5
F_02594	PSin	0
F_02595	PSin	4
F_02596	PSin	4
F_02597	PSin	0
F_02598	PSin	1
F_02599	PSin	2
F_02600	PSin	3
F_02601	PSin	2
F_02602	PSin	3
F_02603	PSin	4
F_02604	PSin	0
F_02605	PSin	4
F_02606	PSin	4
F_02607	PSin	2
F_02608	PSin	3
F_02609	PSin	1
F_02610	PSin	2
F_02611	PSin	2
F_02612	PSin	2
F_02613	PSin	5
F_02614	PSin	0
F_02615	PSin	5
F_02616	PSin	3
F_02617	PSin	2
F_02618	PSin	1
F_02619	PSin	1
F_02620	PSin	2
F_02621	PSin	2
F_02622	PSin	3
F_02623	PSin	3
F_02624	PSin	0
F_02625	PSin	0
F_02626	PSin	3
F_02627	PSin	1
F_02628	PSin	4
F_02629	PSin	5
F_02630	PSin	2
F_02631	PSin	2
F_02632	PSin	1
F_02633	PSin	0
F_02634	PSin	1
F_02635	PSin	0
F_02636	PSin	2
F_02637	PSin	2
F_02638	PSin	0
F_02639	PSin	3
F_02640	PSin	4
F_02641	PSin	3
F_02642	PSin	3
F_02643	PSin	0
F_02644	PSin	2
F_02645	PSin	4
F_02646	PSin	1
F_02647	PSin	5
F_02648	PSin	0
F_02649	PSin	4
F_02650	PSin	5
F_02651	PSin	5
F_02652	PSin	3
F_02653	PSin	2
F_02654	PSin	5
F_02655	PSin	2
F_02656	PSin	0
F_02657	PSin	4
F_02658	PSin	2
F_02659	PSin	2
F_02660	PSin	3
F_02661	PSin	1
F_02662	PSin	3
F_02663	PSin	1
F_02664	PSin	4
F_02665	PSin	1
F_02666	PSin	3
F_02667	PSin	2
F_02668	PSin	1
F_02669	PSin	0
F_02670	PSin	1
F_02671	PSin	5
F_02672	PSin	3
F_02673	PSin	0
F_02674	PSin	3
F_02675	PSin	4
F_02676	PSin	4
F_02677	PSin	2
F_02678	PSin	5
F_02679	PSin	4
F_02680	PSin	5
F_02681	PSin	2
F_02682	PSin	0
F_02683	PSin	3
F_02684	PSin	5
F_02685	PSin	0
F_02686	PSin	2
F_02687	PSin	1
F_02688	PSin	2
F_02689	PSin	5
F_02690	PSin	1
F_02691	PSin	5
F_02692	PSin	2
F_02693	PSin	5
F_02694	PSin	5
F_02695	PSin	4
F_02696	PSin	4
F_02697	PSin	4
F_02698	PSin	1
F_02699	PSin	0
F_02700	PSin	1
F_02701	PSin	5
F_02702	PSin	2
F_02703	PSin	1
F_02704	PSin	4
F_02705	PSin	3
F_02706	PSin	1
F_02707	PSin	1
F_02708	PSin	1
F_02709	PSin	0
F_02710	PSin	5
F_02711	PSin	3
F_02712	PSin	1
F_02713	PSin	3
F_02714	PSin	1
F_02715	PSin	4
F_02716	PSin	4
F_02717	PSin	4
F_02718	PSin	3
F_02719	PSin	3
F_02720	PSin	3
F_02721	PSin	5
F_02722	PSin	3
F_02723	PSin	5
F_02724	PSin	1
F_02725	PSin	1
F_02726	PSin	4
F_02727	PSin	0
F_02728	PSin	4
F_02729	PSin	5
F_02730	PSin	3
F_02731	PSin	5
F_02732	PSin	2
F_02733	PSin	2
F_02734	PSin	1
F_02735	PSin	1
F_02736	PSin	5
F_02737	PSin	2
F_02738	PSin	4
F_02739	PSin	2
F_02740	PSin	1
F_02741	PSin	1
F_02742	PSin	3
F_02743	PSin	3
F_02744	PSin	2
F_02745	PSin	5
F_02746	PSin	5
F_02747	PSin	0
F_02748	PSin	0
F_02749	PSin	0
F_02750	PSin	3
F_02751	PSin	4
F_02752	PSin	3
F_02753	PSin	0
F_02754	PSin	3
F_02755	PSin	1
F_02756	PSin	5
F_02757	PSin	3
F_02758	PSin	5
F_02759	PSin	1
F_02760	PSin	0
F_02761	PSin	5
F_02762	PSin	5
F_02763	PSin	0
F_02764	PSin	2
F_02765	PSin	4
F_02766	PSin	2
F_02767	PSin	5
F_02768	PSin	1
F_02769	PSin	0
F_02770	PSin	3
F_02771	PSin	1
F_02772	PSin	2
F_02773	PSin	1
F_02774	PSin	3
F_02775	PSin	5
F_02776	PSin	3
F_02777	PSin	3
F_02778	PSin	4
F_02779	PSin	1
F_02780	PSin	2
F_02781	PSin	3
F_02782	PSin	3
F_02783	PSin	1
F_02784	PSin	0
F_02785	PSin	0
F_02786	PSin	5
F_02787	PSin	4
F_02788	PSin	0
F_02789	PSin	1
F_02790	PSin	5
F_02791	PSin	2
F_02792	PSin	0
F_02793	PSin	0
F_02794	PSin	1
F_02795	PSin	0
F_02796	PSin	4
F_02797	PSin	0
F_02798	PSin	4
F_02799	PSin	0
F_02800	PSin	4
F_02801	PSin	1
F_02802	PSin	4
F_02803	PSin	3
F_02804	PSin	1
F_02805	PSin	0
F_02806	PSin	2
F_02807	PSin	4
F_02808	PSin	2
F_02809	PSin	1
F_02810	PSin	1
F_02811	PSin	0
F_02812	PSin	2
F_02813	PSin	0
F_02814	PSin	0
F_02815	PSin	3
F_02816	PSin	3
F_02817	PSin	2
F_02818	PSin	2
F_02819	PSin	3
F_02820	PSin	3
F_02821	PSin	0
F_02822	PSin	3
F_02823	PSin	5
F_02824	PSin	1
F_02825	PSin	1
F_02826	PSin	5
F_02827	PSin	4
F_02828	PSin	2
F_02829	PSin	5
F_02830	PSin	5
F_02831	PSin	3
F_02832	PSin	3
F_02833	PSin	0
F_02834	PSin	5
F_02835	PSin	3
F_02836	PSin	4
F_02837	PSin	5
F_02838	PSin	3
F_02839	PSin	2
F_02840	PSin	1
F_02841	PSin	5
F_02842	PSin	0
F_02843	PSin	3
F_02844	PSin	3
F_02845	PSin	1
F_02846	PSin	2
F_02847	PSin	5
F_02848	PSin	2
F_02849	PSin	4
F_02850	PSin	3
F_02851	PSin	2
F_02852	PSin	3
F_02853	PSin	0
F_02854	PSin	1
F_02855	PSin	1
F_02856	PSin	0
F_02857	PSin	3
F_02858	PSin	1
F_02859	PSin	2
F_02860	PSin	4
F_02861	PSin	0
F_02862	PSin	2
F_02863	PSin	4
F_02864	PSin	4
F_02865	PSin	0
F_02866	PSin	3
F_02867	PSin	5
F_02868	PSin	0
F_02869	PSin	4
F_02870	PSin	5
F_02871	PSin	4
F_02872	PSin	4
F_02873	PSin	0
F_02874	PSin	3
F_02875	PSin	3
F_02876	PSin	5
F_02877	PSin	3
F_02878	PSin	3
F_02879	PSin	4
F_02880	PSin	2
F_02881	PSin	1
F_02882	PSin	2
F_02883	PSin	0
F_02884	PSin	3
F_02885	PSin	2
F_02886	PSin	5
F_02887	PSin	1
F_02888	PSin	5
F_02889	PSin	3
F_02890	PSin	1
F_02891	PSin	0
F_02892	PSin	0
F_02893	PSin	3
F_02894	PSin	3
F_02895	PSin	2
F_02896	PSin	1
F_02897	PSin	2
F_02898	PSin	3
F_02899	PSin	4
F_02900	PSin	0
F_02901	PSin	5
F_02902	PSin	2
F_02903	PSin	0
F_02904	PSin	4
F_02905	PSin	1
F_02906	PSin	2
