gender,years_exp,education,test_score,senior_hire
M,4.62,1,79.2,0
M,10.11,1,55.6,0
F,7.5,0,71.3,0
M,0.49,2,64.0,0
F,4.19,1,56.4,0
F,2.85,0,67.7,0
M,3.92,2,61.5,0
F,9.91,1,69.2,0
M,5.6,0,72.4,0
F,7.73,1,66.1,0
M,7.14,1,67.2,0
F,2.32,0,64.4,0
F,2.75,1,57.4,0
M,4.92,1,36.7,0
M,6.16,2,59.5,0
F,3.47,0,56.0,0
M,6.52,0,79.4,0
F,5.6,1,61.4,0
M,6.29,1,57.9,0
M,8.7,2,72.6,1
F,7.12,1,81.1,0
M,10.15,0,46.6,0
M,4.48,0,78.6,0
F,5.83,1,84.9,0
M,0.46,1,57.1,0
F,5.12,1,53.8,0
M,7.66,0,61.4,0
M,1.45,1,90.7,0
F,3.22,1,88.3,0
M,7.03,0,64.9,0
M,3.6,1,58.0,0
F,7.01,0,79.3,0
M,10.08,1,69.9,1
M,8.27,1,76.3,1
F,2.05,1,65.8,0
F,5.15,1,51.9,0
M,6.13,1,73.4,0
M,4.4,1,44.3,0
F,5.13,1,69.9,0
M,5.07,2,76.4,0
M,0.75,1,78.9,0
F,7.22,1,74.2,0
M,7.65,1,64.7,0
M,9.17,0,71.8,0
M,0.99,1,54.1,0
M,6.29,2,84.9,1
M,7.98,2,70.1,1
M,5.66,1,60.8,0
F,3.15,0,79.6,0
F,1.9,0,54.9,0
M,8.49,1,68.4,0
M,2.35,0,57.7,0
M,2.95,0,44.3,0
F,9.62,1,67.2,0
F,1.1,0,71.2,0
M,7.0,1,56.8,0
F,6.53,1,79.8,0
M,5.58,0,68.3,0
M,6.53,1,77.5,0
F,1.98,2,62.4,0
F,5.47,1,82.3,0
M,7.55,1,61.8,0
F,6.38,1,68.2,0
F,5.39,0,71.9,0
F,1.56,1,61.4,0
M,4.45,1,61.6,0
F,9.19,1,75.4,0
F,8.08,0,60.7,0
M,6.95,0,81.2,0
M,5.87,0,69.3,0
M,7.89,0,56.5,0
M,6.86,1,74.8,0
F,3.15,0,81.0,0
M,6.94,0,75.2,0
M,7.46,2,77.4,1
M,2.36,0,72.4,0
M,8.04,1,71.8,0
M,3.29,1,86.1,0
M,7.66,1,60.0,0
F,5.54,0,58.1,0
M,6.27,0,70.5,0
M,2.55,1,58.2,0
M,8.04,1,63.7,0
M,5.0,1,58.2,0
M,4.33,0,64.2,0
M,8.5,1,61.4,0
F,4.12,2,69.8,0
M,6.12,0,66.1,0
F,9.34,1,74.2,0
M,4.08,2,61.1,1
F,2.95,1,66.7,0
M,5.69,0,90.0,0
M,4.22,0,78.5,0
F,4.99,1,53.8,0
M,3.57,0,45.2,0
M,3.57,0,59.0,0
M,0.29,0,77.3,0
M,1.97,0,62.7,0
F,5.9,1,55.5,0
F,5.62,1,73.1,0
M,6.64,0,58.5,0
F,8.52,1,75.6,0
M,3.2,0,55.4,0
F,5.34,0,68.8,0
F,4.08,1,79.9,0
F,6.73,1,93.8,0
F,3.58,2,65.1,1
M,6.86,1,69.2,1
M,2.37,0,93.0,0
M,6.08,2,80.2,1
F,6.23,1,80.9,0
M,8.35,1,59.7,0
M,6.89,2,75.1,1
M,7.79,1,96.8,0
M,6.12,1,65.8,0
M,3.81,1,61.4,0
M,3.38,2,70.1,1
M,6.02,2,66.6,0
F,3.71,1,75.1,0
F,2.83,0,68.9,0
M,0.12,2,86.0,0
F,2.98,1,78.6,0
F,3.01,0,88.4,0
M,1.79,0,72.7,0
M,7.44,1,79.4,1
F,1.44,0,59.4,0
F,5.76,1,79.2,0
F,5.91,2,87.5,0
F,4.07,0,69.6,0
M,3.41,1,59.3,0
M,4.73,1,53.5,0
F,7.56,0,72.7,0
M,7.4,2,73.2,0
F,4.58,0,78.6,0
F,4.81,0,68.2,0
M,8.53,1,52.4,0
M,3.18,0,65.2,0
M,5.59,0,43.9,0
F,7.7,1,84.3,0
M,8.58,0,68.5,0
M,2.99,2,66.3,0
M,6.68,2,77.1,1
F,5.58,0,58.5,0
M,1.18,0,63.6,0
M,3.16,2,77.8,0
M,6.98,2,58.1,0
F,5.43,0,73.4,0
M,5.54,1,66.4,0
F,2.59,2,79.0,0
M,4.91,2,93.6,0
F,6.99,0,69.9,0
F,7.99,0,86.5,0
F,6.97,1,67.9,0
M,6.36,0,71.3,0
M,4.16,1,74.3,0
M,11.65,2,55.5,1
F,7.53,0,80.8,0
M,0.61,0,62.3,0
M,3.26,1,74.4,0
F,5.97,0,50.0,0
M,2.99,1,68.9,0
F,8.04,1,74.2,0
F,6.24,1,71.5,0
M,6.26,0,92.6,0
F,4.61,1,86.1,0
F,10.07,1,77.0,0
M,5.78,2,61.9,0
M,3.19,1,64.1,0
M,1.41,0,63.9,0
M,6.29,2,53.4,1
F,4.96,0,65.5,0
M,2.66,1,83.2,0
F,6.44,1,80.4,0
M,3.57,2,82.2,0
F,2.87,0,62.8,0
M,5.26,1,89.2,0
F,2.8,1,86.2,0
M,5.42,1,68.6,0
F,2.4,1,71.3,0
M,3.49,0,74.8,0
M,10.87,2,75.7,1
M,3.23,2,75.2,0
M,5.89,0,69.1,0
M,11.99,1,59.4,0
F,5.39,1,68.1,0
M,4.65,1,71.3,0
M,1.69,1,48.8,0
M,7.35,1,91.5,1
M,0.0,0,71.4,0
F,1.86,0,75.9,0
F,5.02,2,63.6,1
M,9.26,0,67.3,0
M,10.28,1,56.5,0
F,8.4,1,61.5,0
M,5.94,1,56.3,0
M,4.0,0,79.3,0
M,6.56,0,41.8,0
F,8.76,0,70.5,0
F,4.95,1,77.8,0
F,8.15,2,78.5,1
F,2.27,2,56.9,1
F,5.49,0,57.7,0
M,4.65,1,72.0,0
